mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,6,0,0,2,4,1,3,19,8,10,15,6,14,22,19,12,4,8,14,8,2,0,0,169
02,5,8,1,4,3,0,0,2,18,6,7,8,13,7,10,1,2,5,0,24,40,24,9,17
03,25,1,30,9,24,11,11,60,54,5,12,7,62,119,16,25,32,53,24,42,12,0,1,3
04,2,4,0,7,4,2,0,4,8,14,1,4,41,54,33,62,13,6,36,6,20,16,19,11
05,36,20,4,1,3,2,2,19,44,31,10,6,35,20,63,23,26,49,76,29,34,7,2,4
06,6,2,4,1,0,0,2,10,0,0,2,32,34,25,39,45,23,63,46,17,8,7,10,6
07,12,12,8,4,3,1,7,39,47,104,86,59,52,85,61,19,25,26,5,6,5,1,2,3
08,0,1,2,8,1,2,2,13,14,7,6,9,37,20,20,30,21,44,49,10,9,14,2,0
09,3,1,3,2,2,1,1,20,27,45,6,13,22,18,9,0,3,9,14,2,2,4,0,3
10,8,4,15,7,6,7,4,22,25,6,5,11,13,24,12,14,8,14,3,14,91,11,20,50
11,28,6,21,13,4,9,2,2,4,8,8,18,22,26,107,60,30,17,22,23,91,41,14,31
12,133,8,13,20,17,8,1,48,24,3,7,25,82,95,172,179,25,146,24,17,22,47,3,8
13,8,9,2,1,0,3,0,36,48,16,5,22,133,46,46,56,42,65,50,47,0,0,0,0
14,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,2,0,3,0,0,0
15,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
16,0,0,0,0,0,0,0,2,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,1,1,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,0,0,0,0,0,0,0,1,2,3,0,3,2,3,3,3,0,0,1,2,1,0,0,0
20,0,0,0,0,1,0,0,0,3,2,0,1,4,3,0,1,3,1,4,1,3,0,0,0
21,2,0,0,1,0,0,0,1,6,2,2,1,7,0,1,0,1,0,1,0,1,1,0,0
22,1,1,0,0,0,1,2,0,2,0,0,0,2,0,0,1,1,0,2,1,1,1,0,0
23,0,0,1,0,0,1,1,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
