apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,194,203,-1,271,313,282,298,303,307,355,294,248,176,125,135,87,71,52,57,62,114,153,184,182
02,196,232,242,287,222,276,300,325,332,359,324,251,167,136,114,124,106,67,57,63,122,205,215,264
03,191,74,68,287,267,311,318,350,349,370,358,245,195,162,127,97,80,57,62,69,108,177,229,263
04,200,205,208,271,270,293,309,354,365,359,333,281,180,120,126,88,68,61,77,66,113,183,223,283
05,264,263,225,268,289,303,318,350,347,334,353,263,182,138,148,97,82,56,41,93,137,185,238,187
06,244,270,258,322,306,309,339,322,348,370,323,215,166,150,146,113,90,76,80,57,112,156,218,223
07,214,251,250,286,326,325,345,317,311,343,307,258,196,135,129,122,77,71,87,91,120,195,230,217
08,216,255,256,316,307,347,323,327,279,381,316,237,160,142,124,87,56,67,61,104,135,220,211,220
09,217,204,247,275,349,371,325,314,308,347,330,251,159,111,113,105,73,76,59,86,117,171,191,192
10,227,159,70,262,296,291,296,372,371,361,327,235,188,119,133,98,73,82,62,102,107,179,206,208
11,224,252,257,303,258,320,357,373,330,337,356,239,192,152,137,107,92,70,79,82,134,185,230,216
12,266,217,288,329,299,315,307,369,405,410,320,226,243,141,129,133,87,69,70,86,127,194,250,234
13,246,244,294,333,358,313,364,345,409,369,316,240,185,160,134,112,66,65,100,111,127,182,224,274
14,233,279,325,270,271,241,330,334,416,429,328,245,176,127,130,109,58,63,68,64,115,214,231,251
15,243,220,282,314,342,301,388,386,366,368,351,227,176,136,139,131,80,64,73,75,120,167,189,205
16,235,265,250,352,347,343,345,400,392,366,316,209,189,169,132,126,92,63,59,99,141,169,223,258
17,192,25,50,332,289,311,363,385,391,368,282,193,139,141,120,107,101,63,66,91,127,173,229,241
18,192,212,281,316,325,342,352,399,400,356,314,239,190,151,126,120,89,68,67,56,99,174,245,253
19,209,236,250,309,296,300,385,386,416,384,304,208,178,135,142,116,105,73,63,91,127,158,187,186
20,231,263,292,277,326,346,345,394,421,381,306,228,169,177,149,107,89,58,68,79,97,139,236,251
21,261,270,277,311,362,345,423,391,419,397,305,194,186,144,146,121,71,56,61,97,116,185,251,282
22,262,278,315,374,365,404,459,439,422,390,305,259,165,145,144,108,69,54,65,97,166,352,263,292
23,301,315,365,393,367,386,416,399,398,425,403,239,195,190,150,130,108,83,67,105,114,199,261,252
24,216,256,249,355,355,383,405,455,420,415,339,257,170,167,175,146,92,68,80,86,134,207,275,268
25,244,259,287,303,334,351,413,465,432,452,343,280,193,171,154,125,82,59,69,98,123,176,229,291
26,275,280,289,354,370,423,448,480,483,399,301,274,220,203,174,142,80,76,70,83,126,179,250,250
27,240,244,270,350,314,421,454,487,489,449,322,255,190,182,201,145,89,90,66,98,137,171,228,251
28,253,232,289,376,443,458,518,483,518,435,322,290,216,228,198,146,95,89,89,98,143,234,286,297
29,262,300,279,398,377,412,457,518,443,451,304,336,246,218,224,130,93,85,74,104,113,219,237,296
30,283,325,310,393,388,463,438,464,448,398,334,254,211,241,210,149,95,89,72,101,135,179,263,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
