sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,185,156,211,188,211,203,180,198,197,153,212,159,108,84,99,83,69,87,71,113,123,156,200,206
02,171,158,198,190,190,191,149,157,166,173,147,148,162,117,105,73,77,69,68,83,104,159,221,182
03,183,163,6,105,160,181,146,156,151,149,159,140,161,74,104,78,83,70,60,98,118,20,192,202
04,217,18,64,184,168,183,163,180,169,171,166,131,100,72,83,66,80,65,73,96,116,167,191,228
05,195,141,180,208,225,183,212,216,209,193,176,148,142,102,92,114,102,71,91,88,126,159,226,240
06,180,186,188,241,234,216,207,195,172,194,156,148,107,93,94,88,83,76,79,86,116,138,165,234
07,170,186,209,209,240,233,187,229,200,217,171,131,105,100,114,71,78,66,98,87,151,149,188,243
08,167,208,208,217,197,186,208,173,165,196,143,120,95,70,95,78,62,52,74,90,135,180,216,222
09,215,164,214,190,230,218,192,156,190,196,210,120,75,73,107,113,69,71,72,99,129,180,193,171
10,131,199,201,198,219,206,207,223,179,189,143,115,72,91,94,62,81,229,266,111,114,164,197,186
11,132,150,167,229,220,209,299,57,216,242,149,142,109,82,87,67,73,71,76,98,109,170,201,170
12,201,159,161,203,190,179,169,192,171,185,183,163,94,91,93,91,85,66,68,80,95,182,210,178
13,178,179,170,191,215,185,145,189,184,208,159,146,107,79,92,104,82,56,89,105,125,163,240,178
14,157,185,148,200,193,174,164,193,157,161,165,163,109,101,86,80,84,61,83,96,131,186,186,199
15,151,165,157,135,139,137,157,124,188,184,158,137,121,91,108,75,64,51,58,78,141,194,189,173
16,153,184,192,149,192,192,168,180,234,227,152,140,106,83,76,58,61,60,92,94,138,131,170,159
17,137,147,149,158,171,185,140,199,190,234,144,131,116,80,97,64,79,73,60,99,116,176,200,160
18,127,36,4,139,149,172,169,180,188,166,141,138,122,88,110,98,67,65,72,87,120,143,156,144
19,109,172,176,190,171,159,155,165,176,141,182,142,116,80,80,73,59,67,85,110,129,205,215,197
20,149,191,142,176,171,158,136,158,164,161,152,147,130,84,86,61,79,55,67,77,149,158,173,178
21,123,140,145,169,199,191,183,183,172,175,139,63,163,146,308,85,70,93,95,127,171,163,190,230
22,193,142,146,145,196,182,189,201,199,217,174,144,107,99,67,58,54,47,57,89,165,172,179,243
23,170,170,197,160,203,171,148,174,220,197,171,127,125,93,108,101,78,276,174,102,133,170,205,189
24,185,167,161,167,203,201,185,176,227,193,122,111,112,142,110,82,79,81,118,108,157,167,223,192
25,168,166,196,251,192,196,171,173,193,150,182,138,120,117,96,86,108,68,94,142,155,185,193,228
26,184,175,180,201,215,181,205,228,214,245,230,160,129,106,116,88,85,65,98,111,151,177,178,173
27,131,159,155,191,162,203,181,231,206,230,175,159,105,95,97,87,84,74,89,103,153,183,210,174
28,162,147,143,198,192,247,199,263,238,245,193,121,112,107,111,80,89,82,88,139,161,203,204,243
29,151,195,170,196,239,246,242,207,241,205,193,152,98,89,81,89,63,62,60,104,133,170,174,181
30,127,102,139,139,172,159,178,186,183,175,219,146,124,125,106,83,64,64,98,120,152,194,244,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
