oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,280,250,266,319,372,430,415,443,425,409,388,403,401,351,335,359,358,337,352,372,428,435,384,375
02,314,289,310,338,362,444,436,453,409,398,407,419,405,377,340,365,313,310,323,387,389,413,401,329
03,318,302,324,357,369,428,420,448,422,392,366,372,427,391,343,366,253,302,339,382,399,394,413,351
04,308,271,302,327,359,419,412,431,414,393,377,406,408,322,363,373,294,299,297,361,139,284,401,378
05,323,333,352,363,371,418,419,360,338,359,359,383,393,422,410,390,307,338,282,364,393,394,373,344
06,314,329,385,358,374,415,394,361,338,349,345,361,390,383,373,361,322,322,358,357,403,433,391,386
07,330,303,320,351,403,434,425,436,414,419,426,409,432,396,383,338,329,386,387,427,420,428,403,353
08,330,296,301,351,392,426,433,386,378,405,400,388,393,411,400,399,334,355,396,384,427,143,149,79
09,68,105,135,115,138,171,191,225,235,243,250,233,214,187,219,196,200,203,182,202,161,149,134,121
10,82,108,128,117,138,190,225,215,234,239,232,234,209,198,227,201,239,229,251,197,173,116,116,68
11,71,80,77,85,139,180,243,267,257,263,261,237,222,234,233,216,227,234,217,171,157,158,146,87
12,85,137,73,102,121,154,188,233,234,229,223,254,229,208,246,195,215,249,178,169,224,106,52,131
13,8,7,55,131,187,198,233,247,223,263,269,281,276,257,182,209,219,235,242,220,167,213,98,82
14,153,139,116,116,154,200,190,218,241,277,253,273,221,205,233,229,225,254,217,222,223,160,155,94
15,73,131,125,143,163,187,226,234,259,266,288,259,245,251,244,229,247,210,230,198,182,142,123,102
16,94,113,105,116,152,167,210,231,260,287,280,277,236,213,226,180,194,163,132,184,184,142,125,134
17,128,91,123,107,133,180,202,225,214,242,257,237,248,226,227,216,216,200,211,212,204,200,107,77
18,70,99,93,139,139,174,209,207,242,238,276,269,253,230,205,204,197,225,180,204,160,133,115,127
19,89,91,103,127,141,170,211,224,253,252,283,264,272,221,233,225,234,206,204,201,181,174,163,105
20,83,92,99,119,128,190,216,236,240,263,275,266,283,241,226,237,238,223,207,210,185,142,86,89
21,74,70,102,109,139,200,225,260,241,266,290,303,283,260,238,282,247,240,237,174,183,136,113,96
22,98,105,114,117,122,185,225,232,265,272,267,271,259,291,248,242,235,223,203,187,193,186,29,11
23,14,117,144,105,123,194,224,242,288,287,319,311,274,252,237,264,263,257,226,225,218,57,14,12
24,4,5,41,103,231,213,257,269,263,309,300,299,283,261,235,248,245,246,224,224,236,201,157,110
25,79,90,118,139,165,189,212,266,267,253,284,252,247,238,238,211,194,199,186,200,201,190,35,10
26,11,109,147,134,162,222,191,222,249,228,258,228,231,183,211,203,231,249,228,209,173,180,107,9
27,39,120,118,149,156,198,218,235,244,252,239,227,198,227,189,210,193,178,187,206,168,166,139,98
28,91,91,100,116,131,177,213,231,253,290,273,224,220,202,180,195,235,231,197,200,205,171,128,100
29,111,105,106,115,135,188,210,230,267,263,269,246,230,224,219,210,221,164,154,141,165,50,46,107
30,55,28,61,72,82,113,110,142,155,168,182,167,144,132,132,202,224,133,52,40,50,55,51,78
31,41,32,24,31,35,41,72,61,46,55,50,53,51,47,49,47,119,69,49,44,30,47,51,-1,-1
