may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,67,68,67,95,108,127,116,151,142,136,-1,26,102,84,77,34,12,17,17,20,23,32,33,46
02,50,71,73,69,88,114,123,130,124,125,109,105,99,79,75,38,19,15,9,11,19,26,43,49
03,49,66,60,67,84,117,149,156,192,170,162,135,90,69,76,37,29,13,11,14,17,29,33,50
04,50,57,73,91,105,123,144,184,170,188,143,135,102,78,83,22,20,12,10,20,16,25,36,57
05,67,54,80,87,101,125,137,158,154,157,142,127,113,83,65,45,16,18,9,18,46,55,38,37
06,33,39,74,97,119,108,128,173,123,120,162,137,114,85,70,36,26,14,15,12,30,20,28,37
07,52,61,74,93,111,107,156,148,145,174,142,118,89,82,54,47,23,10,10,11,25,30,33,46
08,51,61,65,92,98,164,140,151,144,140,151,118,93,82,53,38,22,14,5,26,19,27,39,39
09,58,78,75,92,105,134,149,186,144,166,146,133,121,112,73,47,25,20,10,15,13,39,38,40
10,58,61,75,91,103,123,149,150,133,194,180,159,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,15,26,11,15,16,9,7,1,1,3,8,7,13,16
12,24,17,25,33,42,43,43,52,30,33,32,34,33,30,28,18,11,6,13,6,25,23,30,22
13,46,50,50,65,79,90,87,121,100,82,103,79,138,79,56,63,25,11,12,11,16,11,25,33
14,30,43,52,48,63,74,75,73,88,70,71,71,74,69,53,40,25,10,9,10,13,18,26,35
15,32,21,44,51,65,74,61,88,108,79,100,99,76,72,63,46,23,10,10,10,13,18,25,39
16,37,38,45,56,62,64,83,83,67,91,78,71,99,72,49,41,21,13,18,12,16,18,27,43
17,50,54,70,42,68,76,84,61,85,142,153,101,109,94,61,40,36,15,12,10,7,17,27,35
18,38,49,40,73,66,80,50,76,81,79,84,90,80,52,53,42,22,6,8,19,24,24,23,24
19,43,38,45,56,56,66,86,81,74,85,77,79,77,58,56,45,24,10,5,8,15,23,26,24
20,45,33,46,51,53,65,65,58,67,66,73,79,52,70,52,36,21,13,11,12,14,13,22,34
21,46,39,43,48,63,72,73,86,82,66,85,80,84,54,46,40,15,10,6,10,15,26,24,39
22,27,47,51,49,71,57,58,93,64,58,72,70,55,46,61,33,17,13,8,14,19,24,25,25
23,28,31,53,54,52,46,67,77,58,79,99,75,81,54,54,35,16,14,17,11,7,12,21,35
24,33,54,47,45,48,64,58,54,30,-1,36,-1,11,64,82,122,41,-1,19,23,191,26,23,24
25,40,50,60,50,50,80,61,60,100,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,32,28,40
28,37,36,44,41,61,75,60,94,84,97,109,119,109,87,69,42,177,115,14,7,17,20,38,38
29,56,50,56,72,75,75,70,70,117,-1,9,82,89,85,75,47,18,17,16,12,16,31,43,47
30,60,55,60,73,82,97,100,113,92,90,122,128,157,139,176,57,29,16,20,15,20,22,29,49
31,46,44,51,65,74,78,79,61,68,86,104,98,103,97,80,53,31,17,15,15,17,23,34,12
