jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,83,108,130,192,251,237,268,239,258,291,275,259,268,247,238,201,188,215,176,139,141,105,104,182
02,198,166,211,213,251,263,262,293,277,283,285,279,255,276,270,222,205,229,167,109,138,98,86,85
03,80,107,139,189,242,257,297,297,307,309,322,305,287,276,247,194,188,192,167,150,104,91,75,84
04,125,108,117,180,224,260,300,269,279,274,283,266,225,240,170,153,128,213,203,151,112,68,76,100
05,94,225,195,197,232,259,267,286,298,275,291,269,257,274,261,172,226,223,171,145,142,136,96,125
06,114,171,222,205,338,267,309,270,261,287,306,251,92,286,241,175,199,169,156,120,84,80,67,83
07,181,208,154,185,218,268,290,299,277,271,280,258,271,314,367,188,255,180,142,187,229,93,69,73
08,146,172,145,171,232,219,283,300,281,269,280,253,248,225,251,173,195,175,175,171,80,0,0,55
09,79,92,175,158,297,269,288,285,294,298,251,273,253,216,127,88,171,122,212,146,95,65,61,109
10,11,74,139,199,153,220,260,283,285,279,253,270,205,252,254,124,282,16,136,174,134,36,0,101
11,60,131,274,253,271,256,267,272,263,249,269,262,240,220,181,163,203,155,186,131,104,111,69,82
12,89,218,150,160,251,239,252,218,215,268,303,242,250,234,238,191,158,142,109,112,69,82,65,74
13,100,133,160,152,218,221,259,234,224,248,222,253,232,194,206,152,141,146,106,101,72,69,56,63
14,97,78,125,177,222,263,285,305,270,263,257,270,270,207,189,176,162,144,133,123,109,84,76,95
15,102,119,155,179,249,238,257,265,264,264,234,246,213,208,204,176,178,157,154,132,96,79,86,92
16,82,123,155,211,292,296,320,291,307,288,279,275,230,210,188,160,141,152,135,118,87,97,85,80
17,155,99,132,187,242,273,305,277,270,281,264,284,264,234,205,183,153,151,160,139,101,100,70,76
18,120,151,168,198,220,266,303,301,304,266,260,243,221,204,164,157,148,141,135,118,83,77,92,93
19,113,107,147,160,217,290,313,296,265,249,294,278,237,206,215,302,231,154,121,109,124,81,93,83
20,126,199,224,155,220,274,269,277,270,298,304,306,245,212,183,168,160,123,118,98,115,84,84,110
21,117,203,154,188,276,285,331,301,304,324,230,268,253,245,255,177,154,143,144,140,112,90,105,108
22,115,114,166,191,291,297,331,326,310,311,288,290,237,214,179,88,126,0,0,4,106,74,104,116
23,102,132,153,199,289,332,356,324,332,327,344,308,254,256,211,178,172,195,212,149,133,92,99,111
24,126,119,170,221,304,337,355,330,339,338,324,314,265,254,221,185,137,159,134,139,88,98,83,87
25,113,169,178,251,304,318,358,342,318,314,293,278,267,240,171,146,183,136,139,146,103,106,113,92
26,109,163,203,237,321,339,352,329,352,342,246,338,275,305,201,149,144,123,90,129,0,41,75,87
27,123,133,160,228,292,347,377,351,333,345,320,310,272,256,216,148,111,146,125,130,134,92,83,89
28,105,133,177,227,296,328,356,369,326,374,322,304,241,212,177,196,171,171,142,143,98,70,80,36
29,0,90,153,208,294,327,347,300,299,340,298,353,294,258,248,139,142,197,156,97,96,86,85,81
30,105,129,156,225,282,319,356,299,330,371,365,351,304,251,230,193,242,190,166,129,102,75,77,83
31,88,103,150,269,351,324,329,340,316,311,264,205,252,243,223,26,159,153,172,116,97,82,86,-1,-1
