jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,63,66,60,88,102,112,160,175,189,192,205,210,230,171,175,158,148,161,199,179,157,126,112,107
02,89,65,70,76,98,117,145,166,173,177,202,230,237,244,222,243,241,247,241,201,163,147,142,150
03,168,166,149,165,190,218,286,324,296,238,245,244,294,312,316,309,266,297,252,223,218,191,126,112
04,88,85,86,75,105,123,156,174,201,204,221,228,233,224,224,218,223,209,205,174,144,118,108,77
05,65,68,44,55,49,78,119,129,152,183,178,221,215,184,195,220,202,203,198,196,164,144,129,78
06,57,54,72,67,86,130,141,171,201,203,204,212,195,215,202,221,192,213,192,166,148,127,89,87
07,69,63,83,83,98,113,134,163,199,211,203,234,234,219,222,240,261,255,220,188,169,105,90,86
08,45,63,82,84,104,104,175,193,193,195,209,244,207,208,180,257,256,224,227,193,158,142,96,81
09,66,71,69,89,112,119,159,185,218,209,241,235,232,249,234,267,234,226,241,198,171,142,117,78
10,74,47,61,69,104,106,149,146,185,176,238,207,246,208,248,255,242,183,187,181,140,128,107,76
11,62,61,49,61,88,91,148,172,180,203,209,227,218,201,226,257,220,257,225,188,167,141,114,79
12,64,54,80,62,102,107,148,173,201,210,244,226,255,234,225,252,221,229,243,203,177,130,113,77
13,68,75,81,68,81,106,149,183,202,219,241,241,234,225,222,233,239,235,209,189,133,96,111,81
14,69,58,82,76,89,107,156,160,210,209,216,204,251,245,224,248,264,237,209,193,179,141,103,77
15,54,52,68,77,91,117,169,182,216,209,242,271,242,227,208,242,254,231,205,170,152,124,104,80
16,70,43,61,59,89,95,165,160,199,214,231,223,225,190,213,233,214,202,194,191,165,134,100,87
17,62,52,59,68,97,101,130,162,200,221,231,235,229,221,202,199,196,212,216,172,151,132,97,88
18,60,57,64,85,91,103,159,159,207,204,215,223,225,173,210,213,204,220,192,214,195,149,84,96
19,57,61,45,69,70,85,128,145,170,219,232,251,215,194,210,223,218,197,202,205,161,125,104,72
20,73,42,56,73,77,102,119,161,191,190,201,215,219,196,201,222,204,207,191,171,162,133,96,76
21,59,47,52,62,85,103,124,163,190,191,201,224,214,208,201,239,207,203,181,159,118,97,75,67
22,48,56,63,77,76,74,145,153,165,210,201,252,227,232,228,234,201,202,192,164,129,98,91,63
23,48,64,53,63,76,103,136,157,200,208,230,228,244,201,199,236,211,230,216,211,150,115,78,57
24,37,41,44,60,82,104,148,178,194,203,239,219,209,186,199,230,185,200,174,192,147,130,79,78
25,53,53,75,70,72,101,147,182,203,216,244,200,174,199,235,230,198,222,181,178,147,87,59,42
26,43,57,74,81,89,109,139,166,202,232,248,269,232,220,210,194,213,209,208,211,148,118,91,65
27,52,37,63,63,93,106,145,163,186,207,202,209,229,198,217,206,196,180,183,179,141,124,94,67
28,59,133,104,65,86,101,138,178,205,216,219,232,234,237,218,232,200,175,186,191,156,123,89,64
29,46,44,38,70,59,108,143,193,179,225,246,245,233,212,192,184,182,198,185,168,119,120,95,75
30,50,75,41,67,69,112,142,188,220,194,218,272,260,201,206,219,175,202,199,155,134,119,101,63
31,54,40,52,64,72,97,163,193,219,220,248,248,234,246,253,259,238,223,195,179,146,114,83,-1,-1
