jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,10,4,15,14,17,14,15,8,8,9,8,2,5,5,6,3,7,6,6,4,8,13,10,28
02,11,11,18,29,19,22,16,9,12,10,9,6,10,9,5,14,11,12,8,8,9,16,22,28
03,38,40,57,74,85,81,120,28,13,13,10,23,24,45,43,52,31,25,20,13,15,12,13,15
04,19,10,13,17,22,24,11,14,9,8,6,8,4,7,11,0,7,6,8,6,15,12,11,16
05,13,15,21,13,19,22,20,18,8,10,6,6,8,8,7,5,6,56,4,3,5,5,18,5
06,3,15,15,4,11,13,7,7,11,3,12,9,4,7,8,6,3,10,1,0,0,3,-1,-1,-1
07,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,1,3,0,1,1,4,5,5,2,5,5
08,2,8,6,5,6,5,3,4,10,4,2,4,3,1,4,4,1,3,3,4,4,9,5,8
09,4,2,2,6,9,8,16,15,10,11,6,8,17,5,2,5,7,1,1,0,4,1,1,1
10,5,4,4,0,4,5,0,2,1,3,4,1,3,2,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,4,12,13,11,14
12,13,18,19,12,19,15,22,17,13,8,11,1,9,4,6,3,10,8,8,12,7,6,16,10
13,13,19,16,16,19,25,14,17,11,15,32,10,12,9,10,8,11,16,6,9,26,17,16,16
14,18,19,28,28,34,31,19,22,24,34,18,22,8,5,13,24,12,5,15,26,20,14,17,18
15,24,18,34,17,15,9,12,15,11,9,9,14,13,9,21,7,6,5,12,27,26,23,27,19
16,21,26,33,29,24,25,18,15,22,14,12,8,13,12,9,12,8,10,17,13,10,17,13,10
17,19,18,8,16,23,21,20,22,21,24,35,26,17,15,5,8,3,10,10,15,12,15,9,15
18,15,21,33,41,31,24,12,16,25,14,10,15,4,9,18,9,11,37,3,16,17,13,20,4
19,1,1,1,1,1,2,4,32,30,17,23,18,12,6,1,4,5,8,11,12,20,20,25,14
20,9,21,17,15,28,20,17,6,5,10,10,8,7,5,3,3,3,9,9,9,11,15,19,17
21,15,15,13,16,16,16,18,36,15,14,7,12,9,11,7,10,4,4,4,5,9,14,13,4
22,13,15,17,26,6,4,20,9,10,11,9,15,13,12,13,2,2,11,18,18,17,17,9,18
23,11,9,26,19,19,18,15,23,15,26,17,19,25,12,14,7,9,6,5,10,10,22,18,11
24,11,18,18,18,20,17,15,9,18,15,9,8,16,6,9,5,8,5,8,7,10,7,10,12
25,8,12,10,15,4,10,6,7,10,5,4,8,4,9,11,5,3,3,2,3,9,5,1,2
26,1,2,2,2,3,0,1,1,0,0,1,0,2,1,1,1,1,2,2,1,3,2,1,0
27,2,0,1,2,1,0,0,0,1,3,1,2,0,0,0,0,1,0,4,4,6,1,0,1
28,2,2,1,5,9,6,7,8,1,4,3,4,5,1,-1,3,1,3,0,5,5,0,1,1
29,3,0,0,0,0,1,3,3,1,0,0,1,1,1,1,1,1,1,2,0,0,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0
31,3,1,1,0,1,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
