dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,27,32,31,29,32,42,33,25,28,19,22,""
07,28,35,18,-1,-1,-1,-1,-1,-1,29,43,54,44,25,24,35,18,16,28,46,24,23,14,7,""
08,16,26,23,15,33,31,42,23,15,17,39,35,29,21,5,10,17,19,7,11,10,14,13,21,""
09,12,12,15,18,27,35,24,26,35,27,28,29,9,10,8,24,23,37,19,17,14,5,6,11,""
10,15,16,4,-1,-1,-1,-1,-1,-1,22,23,32,11,17,16,5,7,10,21,16,19,10,12,9,""
11,11,12,21,20,22,44,41,23,17,-1,17,36,24,36,34,39,30,36,42,61,51,25,25,23,""
12,26,22,34,32,42,85,91,63,43,48,41,58,71,59,77,35,41,40,103,85,109,98,26,25,""
13,23,16,28,36,48,106,130,92,65,59,59,64,27,20,21,42,99,100,96,117,123,86,41,23,""
14,39,36,76,84,116,143,44,23,98,61,27,97,20,85,28,48,37,45,64,57,53,46,32,22,""
15,31,30,47,55,59,62,33,35,38,6,30,44,25,31,15,19,24,19,32,28,29,23,42,28,""
16,54,71,44,57,56,56,49,37,27,10,13,7,4,6,5,8,3,7,12,16,8,11,11,12,""
17,13,22,18,24,28,30,26,21,17,1,-1,5,-1,-1,6,4,6,10,12,10,9,5,9,12,""
18,4,15,18,19,20,17,16,27,8,15,15,25,11,15,16,12,17,7,5,14,5,2,10,10,""
19,8,11,9,14,17,17,20,13,12,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
