Jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
1,39,25,0,0,55,65,61,57,48,56,59,50,37,46,34,20,15,10,19,16,24,33,49,59,""
2,50,29,0,0,51,70,32,28,41,22,23,38,32,48,16,13,9,17,9,14,17,28,38,37,""
3,31,43,1,0,23,66,56,36,51,51,66,97,89,94,91,47,42,51,22,25,23,45,66,80,""
4,94,141,0,2,62,62,38,49,42,39,55,33,45,50,52,27,13,17,15,16,25,27,43,45,""
5,63,14,0,0,48,37,42,40,44,38,35,48,61,21,29,7,2,4,7,19,17,53,25,35,""
6,37,19,0,6,44,48,40,41,43,41,46,38,25,33,28,10,10,5,2,16,13,30,18,39,""
7,59,48,34,23,46,45,49,45,37,45,52,17,39,23,25,14,8,6,12,17,23,21,32,53,""
8,51,34,1,3,70,70,31,28,21,41,85,28,37,25,14,12,2,14,15,9,37,30,19,31,""
9,61,26,1,1,52,63,49,44,32,37,27,29,24,16,18,13,10,9,6,4,10,10,10,20,""
10,20,16,0,0,15,34,37,40,28,29,41,29,30,43,40,5,9,8,18,17,75,-1,76,50,""
11,38,36,0,0,53,50,64,61,45,49,43,42,31,46,20,12,7,5,9,15,18,26,31,46,""
12,63,26,0,0,57,40,34,49,28,36,27,36,33,30,9,10,15,13,13,22,20,31,36,23,""
13,23,19,0,0,43,58,45,30,46,38,40,26,38,39,39,16,16,10,10,16,23,25,20,34,""
14,39,30,0,4,45,39,61,33,32,17,18,10,24,26,14,12,6,-1,-1,-1,-1,-1,-1,-1,""
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
18,-1,-1,-1,-1,-1,-1,1,29,20,30,37,29,32,31,18,13,14,5,15,9,18,29,47,19,""
19,51,46,48,12,39,44,44,20,33,12,24,17,15,26,7,13,32,5,7,7,19,15,26,19,""
20,25,24,0,0,27,27,20,26,24,22,22,43,29,21,19,11,9,10,10,11,24,29,17,31,""
21,31,19,0,0,43,41,39,46,26,40,23,40,18,29,14,11,-1,3,8,7,29,27,23,26,""
22,43,10,0,0,36,45,36,18,49,38,33,28,27,17,8,57,60,-1,9,12,21,26,34,24,""
23,15,13,0,0,17,31,41,22,22,29,30,34,25,14,7,9,9,11,7,8,25,23,25,39,""
24,36,47,0,0,22,30,47,19,33,31,18,13,22,21,16,11,10,5,5,18,17,24,26,27,""
25,23,27,0,0,43,23,27,24,34,28,35,40,27,19,10,6,6,8,13,14,21,22,17,16,""
26,30,24,0,0,35,34,34,24,21,27,27,16,18,28,12,6,6,13,9,13,12,19,24,32,""
27,31,42,0,0,49,29,45,44,24,50,22,29,19,22,17,13,6,5,10,15,18,25,19,37,""
28,30,34,1,2,49,39,34,32,42,15,-1,-1,-1,3,7,1,2,1,1,4,7,7,14,12,""
29,11,10,0,0,17,14,16,25,14,10,18,19,10,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,4,9,7,1,9,12,11,21,25,18,44,""
31,44,25,1,1,30,34,57,39,36,36,42,31,14,13,6,17,5,5,15,14,13,21,34,22,""
