jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,28,0,0,56,52,51,68,81,89,79,90,37,55,132,7,95,90,15,7,8,15,15,23,24,""
02,141,0,2,70,52,110,119,160,131,104,176,57,7,23,31,34,145,119,25,22,50,14,22,32,""
03,30,0,1,51,78,61,87,92,73,91,81,143,34,34,24,22,16,38,72,10,22,25,29,56,""
04,20,43,51,47,85,72,106,114,133,113,49,45,44,153,116,9,64,38,32,16,107,103,171,36,""
05,37,0,1,172,71,35,131,102,235,89,41,27,23,23,79,167,71,79,6,22,14,24,56,46,""
06,27,0,0,34,74,109,124,130,110,108,37,93,65,30,48,31,21,21,17,25,26,21,21,55,""
07,40,0,1,141,88,38,7,6,11,104,77,85,129,95,90,76,103,104,16,7,15,9,35,34,""
08,15,0,0,93,88,108,109,149,105,52,39,27,21,42,48,45,38,47,24,18,19,38,7,101,""
09,25,0,3,100,99,97,161,48,63,104,10,50,5,24,60,66,26,10,183,191,11,11,11,17,""
10,13,0,0,36,71,54,31,35,29,26,7,12,81,32,81,103,8,56,15,6,14,169,136,30,""
11,25,4,2,79,47,7,14,6,6,49,134,37,8,21,27,21,12,3,6,1,14,155,128,23,""
12,12,0,0,34,38,68,56,56,55,73,138,72,6,39,95,23,13,46,101,28,110,79,12,13,""
13,9,0,0,42,45,51,86,98,92,6,8,23,142,70,31,6,12,14,6,11,186,132,104,210,""
14,75,10,0,45,137,39,40,47,35,22,78,86,77,104,214,98,35,95,313,201,212,132,177,257,""
15,144,245,102,38,25,40,56,73,39,24,45,68,131,64,61,13,7,5,1,4,3,8,16,25,""
16,44,57,0,35,47,34,44,54,36,32,5,6,1,6,3,25,13,2,4,7,3,10,7,20,""
17,12,0,0,42,30,67,54,71,81,35,15,11,11,10,13,28,16,2,4,2,2,10,13,22,""
18,20,0,0,40,70,53,53,63,87,143,9,0,41,94,10,9,5,1,0,3,6,6,15,22,""
19,16,8,0,38,31,35,31,16,33,11,6,226,64,6,9,6,8,96,63,54,144,113,-1,-1,""
20,151,184,160,69,95,69,58,32,25,17,29,242,306,30,180,76,56,81,22,2,10,91,181,38,""
21,8,3,0,9,11,22,20,20,31,17,23,12,4,38,180,94,21,45,110,10,42,33,76,13,""
22,5,0,0,49,31,39,60,89,109,85,34,10,7,6,10,96,12,9,110,109,15,27,40,304,""
23,25,1,0,24,32,38,18,137,68,135,16,9,5,55,16,6,120,80,60,6,6,96,163,260,""
24,150,3,0,30,42,115,37,9,6,8,71,6,6,6,18,130,159,19,8,63,6,65,70,17,""
25,22,0,0,32,71,37,48,51,41,33,23,18,4,14,9,13,14,15,145,25,7,49,35,120,""
26,157,0,0,15,28,48,68,28,55,58,20,10,11,11,11,11,7,6,7,6,8,14,15,26,""
27,22,19,0,24,29,36,50,39,44,32,19,9,11,7,8,26,10,166,18,6,8,12,17,17,""
28,18,1,4,44,12,61,50,60,41,28,10,7,7,8,3,69,66,22,12,10,8,20,16,20,""
29,15,0,0,42,26,34,40,41,45,59,14,19,37,17,14,28,14,25,52,7,5,6,9,12,""
30,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
