jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,5,11,15,17,23,14,8,-1,-1,-1,-1,-1,-1,-1,-1,2,20,7,8,10,7,9,8,6,""
02,10,8,13,14,16,24,10,1,-1,-1,-1,-1,-1,-1,-1,7,21,6,22,7,12,13,9,9,""
03,14,10,17,17,30,19,12,-1,-1,1,-1,-1,-1,-1,4,18,10,9,11,8,8,14,7,16,""
04,13,20,30,35,20,16,12,12,15,12,10,12,11,19,35,30,19,7,8,10,6,8,4,12,""
05,10,15,16,34,20,27,18,19,10,7,23,9,17,25,30,29,19,6,10,8,9,19,6,8,""
06,13,15,37,27,27,23,15,19,18,14,19,15,16,13,1,2,18,13,14,3,7,12,10,10,""
07,10,15,17,28,23,19,19,14,7,18,14,18,12,23,34,33,19,10,10,11,8,17,7,8,""
08,12,22,18,31,20,15,11,16,15,18,18,16,18,29,41,22,24,14,11,5,13,11,10,12,""
09,8,15,25,20,18,31,25,19,17,25,24,25,35,32,60,32,22,12,9,9,6,8,9,7,""
10,11,23,28,28,29,26,18,16,20,11,21,12,17,35,46,38,19,8,17,2,3,5,9,12,""
11,15,14,27,36,30,27,13,13,17,15,10,15,15,38,41,33,19,15,15,9,13,7,6,11,""
12,9,20,17,28,23,20,9,18,17,11,15,15,22,31,40,30,13,10,15,8,14,15,19,8,""
13,9,15,35,23,21,24,33,13,18,13,15,8,37,10,32,30,2,7,5,4,6,14,9,9,""
14,15,22,21,27,34,15,8,13,12,24,19,7,16,31,48,41,16,18,3,9,11,8,7,9,""
15,11,25,29,35,29,22,11,1,-1,-1,-1,-1,-1,-1,9,25,16,11,11,14,13,10,9,10,""
16,9,19,35,35,31,19,18,3,-1,4,4,9,7,17,31,11,16,15,8,3,7,5,6,15,""
17,14,23,24,30,25,26,11,-1,1,-1,-1,-1,2,6,23,21,18,11,-1,-1,-1,9,14,11,""
18,20,13,20,38,28,28,12,-1,6,12,12,24,16,26,45,38,18,9,11,7,11,13,10,10,""
19,16,12,22,41,18,16,7,19,15,14,16,13,23,32,32,33,21,13,11,12,14,17,7,10,""
20,12,29,14,23,26,24,21,15,18,14,6,12,13,35,34,32,17,11,11,9,14,7,12,13,""
21,12,9,27,23,16,19,12,8,15,17,15,13,16,36,32,26,21,12,15,18,16,9,10,18,""
22,14,17,17,27,19,16,17,18,9,18,13,13,18,19,30,34,22,18,5,10,9,15,7,11,""
23,13,16,19,31,21,20,12,15,15,13,15,18,25,28,35,28,17,17,14,14,9,11,18,22,""
24,24,27,18,33,36,20,24,13,24,13,13,15,14,17,29,28,14,12,13,5,10,14,9,10,""
25,8,17,14,31,21,17,22,7,17,13,19,18,24,42,25,24,20,10,14,8,12,10,8,16,""
26,17,22,25,21,37,14,14,12,19,15,11,17,21,21,34,26,21,16,7,7,10,14,7,16,""
27,15,21,24,16,21,15,22,14,21,21,16,18,19,21,25,25,26,19,10,7,10,10,8,13,""
28,18,19,22,35,24,21,12,21,20,14,11,15,25,13,34,26,13,14,7,11,10,9,20,11,""
29,14,13,22,23,23,25,24,21,15,18,19,10,20,29,28,30,28,16,18,10,10,12,18,13,""
30,19,16,12,23,27,13,20,1,2,8,-1,1,4,7,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
