jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,86,80,95,98,105,92,101,128,124,111,94,102,80,86,69,88,74,81,82,76,92,94,112,90,""
02,95,92,78,77,76,88,91,95,116,105,90,76,92,88,101,88,82,83,67,83,94,90,97,90,""
03,75,83,89,87,102,95,98,93,118,110,118,97,87,69,94,87,76,94,87,83,102,103,99,82,""
04,110,104,105,97,89,88,93,112,113,98,92,94,94,95,87,93,78,91,78,96,69,88,83,99,""
05,79,95,88,117,93,85,78,111,100,106,106,88,97,74,73,81,70,88,78,83,76,79,89,80,""
06,95,101,100,79,83,89,107,88,113,97,100,75,87,82,69,75,79,77,80,79,94,94,95,95,""
07,92,104,92,95,110,84,85,108,114,88,86,104,99,106,87,73,93,83,88,84,84,91,83,107,""
08,84,105,104,96,104,101,120,109,109,111,99,101,92,108,100,89,86,101,85,87,99,100,97,96,""
09,98,105,89,107,108,113,105,116,117,116,87,86,91,88,87,81,73,85,86,94,83,109,106,92,""
10,104,102,105,103,111,103,124,104,113,115,97,91,89,88,92,96,93,93,88,79,75,103,91,84,""
11,101,102,109,110,111,122,112,99,110,103,99,92,90,103,94,97,87,87,93,79,82,91,94,96,""
12,95,96,95,83,80,107,100,113,98,119,81,98,74,83,86,84,96,76,67,83,92,89,90,94,""
13,103,90,101,90,114,95,106,111,115,112,91,94,92,91,88,109,91,101,102,101,98,0,0,0,""
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
