oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,73,72,87,98,113,107,105,95,89,111,82,113,118,116,134,107,99,125,112,60,67,75,63,69,""
02,61,84,80,93,105,124,103,82,90,98,85,72,111,150,119,81,28,19,18,15,15,19,14,8,""
03,16,13,15,15,22,20,21,16,16,15,11,10,21,20,36,36,45,49,85,92,70,54,40,60,""
04,49,56,75,71,91,114,83,79,87,84,69,91,94,95,119,85,93,95,74,53,35,43,32,47,""
05,42,64,65,72,93,107,76,88,83,92,87,88,85,100,104,87,101,75,61,46,21,28,45,25,""
06,47,70,75,80,105,105,90,73,64,64,57,70,99,90,103,72,76,74,60,63,36,30,40,38,""
07,53,64,60,69,72,82,81,90,75,84,62,71,79,77,84,69,85,78,71,56,45,45,44,41,""
08,56,48,51,69,94,99,91,85,76,64,73,67,71,73,77,54,65,58,57,56,40,42,49,45,""
09,56,51,53,78,92,86,106,99,76,82,73,57,96,66,65,104,78,72,71,62,43,57,58,64,""
10,67,55,75,71,116,114,106,90,101,74,74,84,106,93,96,90,79,82,86,83,63,57,51,60,""
11,54,52,80,110,101,111,80,98,92,90,86,96,105,111,103,91,88,83,91,29,44,49,51,52,""
12,62,69,67,67,78,103,84,95,102,107,94,77,93,93,82,69,68,66,79,77,59,52,41,45,""
13,49,47,57,103,87,95,82,99,90,108,98,87,84,97,88,67,75,81,84,73,45,48,55,42,""
14,39,38,54,71,83,105,98,87,103,126,109,84,70,86,83,58,65,39,40,38,29,42,42,50,""
15,51,65,81,99,104,104,89,93,80,124,91,101,104,102,101,69,102,71,94,68,62,76,64,61,""
16,56,42,17,37,84,112,120,84,92,100,87,88,90,112,87,80,67,84,84,71,53,51,50,54,""
17,56,55,67,91,89,111,100,83,64,79,75,94,95,79,98,91,81,92,89,59,49,40,48,49,""
18,56,65,52,66,76,91,93,90,94,89,97,96,102,103,101,84,71,61,62,52,35,43,30,42,""
19,45,64,83,83,93,90,91,97,92,108,90,90,74,99,89,68,80,70,63,42,54,65,61,48,""
20,59,51,54,71,104,89,93,121,114,111,123,109,114,107,98,93,92,75,72,52,47,67,59,57,""
21,49,68,65,91,89,102,92,96,119,121,101,90,122,129,114,93,103,79,66,51,49,44,46,49,""
22,65,85,85,99,104,96,103,121,97,94,74,73,83,100,88,73,75,73,64,53,47,49,38,60,""
23,44,50,58,79,88,97,85,91,106,103,79,83,84,91,67,78,72,61,74,65,53,36,32,55,""
24,65,61,69,69,72,88,84,78,87,78,82,76,90,105,93,80,86,75,73,70,44,45,43,64,""
25,45,66,93,74,84,81,96,102,114,102,138,115,96,135,108,107,85,97,92,78,58,63,60,59,""
26,56,78,77,71,98,104,85,84,92,96,85,94,86,107,114,76,93,66,77,76,59,50,45,53,""
27,52,67,81,89,90,87,102,86,80,117,97,85,111,104,104,80,86,82,78,73,63,72,78,65,""
28,68,77,95,104,90,113,70,101,98,102,113,96,85,103,102,85,98,92,88,66,72,58,59,61,""
29,55,69,81,91,103,112,88,89,88,120,99,101,108,118,118,84,75,72,80,71,61,62,61,57,""
30,68,72,79,98,117,93,119,84,102,114,83,90,100,113,97,102,98,69,73,67,67,38,58,51,""
31,54,76,90,94,106,89,74,61,90,67,86,93,87,87,99,86,73,67,71,70,44,61,58,-1,""
