nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,3,17,26,27,32,45,66,46,58,50,37,28,24,14,26,22,31,16,22,""
02,21,28,35,51,37,35,24,28,23,30,39,50,26,50,32,34,42,33,39,28,25,30,23,19,""
03,24,36,34,61,61,58,26,21,29,39,48,67,42,50,55,42,38,29,21,23,26,20,14,6,""
04,12,20,22,34,30,17,9,14,10,24,25,19,29,27,31,34,23,33,24,28,32,20,20,20,""
05,16,24,34,46,48,50,47,29,25,39,35,36,43,53,36,32,33,23,29,30,27,27,18,25,""
06,22,36,37,46,50,52,29,19,20,29,47,44,49,46,39,39,36,33,35,36,35,28,26,22,""
07,25,22,29,54,42,39,33,23,24,41,40,43,40,33,37,52,43,30,35,33,34,21,19,22,""
08,18,21,38,43,51,39,36,23,23,42,39,39,31,41,40,35,39,28,35,30,38,18,25,17,""
09,20,23,37,59,62,40,36,33,27,36,36,59,36,40,54,51,40,23,30,24,30,25,18,10,""
10,16,25,11,41,31,53,36,28,26,30,39,28,36,50,51,48,48,42,33,40,34,17,21,22,""
11,21,31,43,56,76,55,45,29,43,46,44,43,51,45,55,33,45,37,34,24,25,25,24,25,""
12,22,23,46,54,57,43,47,24,15,26,31,42,36,42,53,26,29,31,28,30,20,23,22,20,""
13,11,18,33,38,53,38,25,21,25,27,43,41,58,54,42,33,35,22,41,21,21,21,14,14,""
14,14,19,31,38,40,33,19,20,11,30,41,43,45,42,51,30,42,41,31,29,28,35,23,20,""
15,26,26,49,47,46,54,32,28,28,26,39,42,48,41,35,36,33,27,24,18,28,27,18,25,""
16,22,25,21,38,52,41,27,19,22,33,53,51,48,60,33,39,28,26,27,27,31,28,17,14,""
17,17,24,39,36,47,42,35,35,32,45,38,63,47,39,45,37,24,37,32,29,21,34,19,13,""
18,16,18,32,35,44,37,27,24,26,41,37,34,50,34,39,49,40,28,22,25,30,17,11,16,""
19,31,27,28,39,49,33,26,30,29,44,61,40,37,49,37,46,39,30,25,29,22,24,10,24,""
20,17,31,28,37,45,47,19,28,30,30,49,52,66,68,39,30,38,30,34,26,29,28,25,17,""
21,23,28,40,50,43,43,35,25,18,41,49,75,71,58,68,46,41,41,55,27,34,23,21,17,""
22,19,17,35,61,44,54,45,51,43,44,65,56,55,48,48,42,38,38,26,19,23,18,19,17,""
23,20,25,30,52,66,45,43,21,27,45,43,53,53,52,66,50,36,26,29,25,26,24,19,22,""
24,23,28,30,41,52,44,39,36,38,39,55,74,50,58,58,51,41,29,28,22,36,28,26,13,""
25,16,28,35,51,49,50,41,23,27,36,50,49,53,61,55,46,33,30,29,21,16,23,17,14,""
26,17,22,33,47,53,52,46,32,35,39,51,43,43,72,61,49,30,41,28,38,32,23,12,13,""
27,15,31,31,34,40,51,32,24,22,36,49,44,55,54,56,48,27,32,35,38,23,18,24,15,""
28,16,29,20,54,51,51,41,29,29,47,53,55,54,58,60,50,58,37,41,27,19,23,19,16,""
29,18,15,39,50,54,47,34,37,34,44,45,56,56,40,48,52,41,22,29,19,30,28,19,12,""
30,20,23,44,46,31,48,35,28,29,48,55,52,40,54,42,50,42,34,24,32,27,21,21,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
