nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,15,22,25,30,26,24,13,15,19,14,4,2,12,6,7,7,3,7,10,3,9,6,11,8,""
02,6,14,14,23,14,13,17,12,15,13,13,13,8,3,6,3,4,6,7,5,6,10,8,12,""
03,17,13,22,25,15,13,14,13,14,9,7,20,11,8,6,5,6,3,7,4,6,14,6,11,""
04,10,11,12,16,13,10,12,7,12,11,7,4,12,14,14,5,3,3,5,6,7,8,7,8,""
05,10,14,22,17,17,18,17,11,15,11,12,12,9,5,9,6,4,1,4,5,6,11,10,1,""
06,13,16,12,21,18,17,17,11,14,7,10,6,12,12,11,12,5,4,13,13,8,10,12,12,""
07,13,11,19,19,18,9,11,14,9,10,12,13,13,10,12,9,8,10,11,10,8,16,7,9,""
08,19,25,32,18,22,9,12,13,18,19,20,11,5,7,8,4,5,6,11,11,15,13,9,5,""
09,12,18,16,18,16,5,13,14,12,14,12,9,20,7,8,5,5,5,4,7,11,6,14,13,""
10,16,22,11,13,14,5,4,5,7,12,13,17,15,4,14,5,8,8,0,10,10,16,4,7,""
11,17,29,19,18,19,13,10,15,9,15,13,11,8,17,7,8,5,3,7,7,8,6,9,5,""
12,6,15,11,24,16,13,15,9,10,10,8,11,9,6,7,4,7,13,6,9,14,16,4,11,""
13,16,17,30,38,15,11,9,10,11,18,23,16,12,17,3,14,10,12,12,10,13,8,7,12,""
14,22,28,27,24,21,8,15,15,20,9,13,11,8,8,15,2,4,12,8,8,9,14,14,7,""
15,21,25,28,17,18,21,16,16,10,19,16,10,9,7,9,6,4,5,9,15,9,9,12,15,""
16,14,24,28,24,23,22,12,13,20,11,16,13,10,13,6,16,10,6,8,10,6,12,6,12,""
17,10,12,27,20,11,16,15,15,20,6,15,10,8,6,7,8,4,8,3,8,5,9,9,6,""
18,16,11,16,11,14,6,11,13,6,9,3,1,4,6,1,6,4,5,15,10,8,9,7,15,""
19,12,25,20,27,19,11,21,21,16,14,16,15,14,3,6,5,5,5,4,7,8,7,8,4,""
20,14,12,12,10,13,4,3,9,8,8,9,5,5,11,9,7,7,10,3,2,5,8,5,7,""
21,11,10,10,12,9,12,11,8,10,9,15,10,18,13,14,8,8,3,3,6,7,6,6,8,""
22,16,17,19,19,14,12,17,17,12,18,15,9,13,4,1,8,7,11,10,12,18,8,10,11,""
23,17,14,8,8,8,8,11,9,7,15,13,5,8,6,8,8,5,5,6,8,4,3,4,10,""
24,10,15,22,15,18,17,14,11,10,9,9,6,5,2,4,3,5,3,4,5,7,5,1,6,""
25,9,9,11,12,13,6,7,10,5,3,5,1,2,3,5,4,5,5,6,4,3,9,10,6,""
26,7,9,22,17,9,18,9,9,6,7,4,3,3,4,7,2,3,1,9,2,3,5,4,7,""
27,9,14,13,22,18,10,8,9,5,7,10,1,4,2,8,2,3,6,7,3,6,6,10,10,""
28,11,17,17,28,10,12,13,11,8,8,7,7,7,4,7,3,5,1,5,2,4,5,0,0,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
