jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,47,63,71,""
14,84,109,110,106,120,172,104,112,114,127,119,171,186,146,71,32,41,21,14,33,32,48,87,-1,""
15,-1,33,12,13,10,-1,114,163,42,-1,140,116,117,130,56,63,51,39,23,22,33,39,58,67,""
16,156,77,129,147,125,154,147,148,125,149,149,144,128,80,74,56,33,65,21,31,27,20,51,52,""
17,65,91,136,139,135,130,118,136,99,-1,-1,22,-1,10,8,17,-1,-1,-1,-1,32,57,-1,-1,""
18,71,106,127,160,213,192,144,100,155,138,224,184,146,123,87,53,-1,-1,17,-1,-1,-1,-1,-1,""
19,108,132,119,160,180,147,132,128,103,129,127,120,74,98,86,45,43,18,22,12,23,43,54,99,""
20,80,83,114,109,134,136,76,125,86,116,144,119,97,76,62,76,33,24,17,26,35,41,55,80,""
21,86,102,111,99,93,112,92,88,91,118,71,92,95,96,50,45,36,22,19,21,24,39,-1,-1,""
22,56,77,103,87,93,67,68,56,93,78,143,146,92,62,69,66,41,20,28,26,25,41,64,55,""
23,101,85,124,118,121,130,116,88,142,126,199,159,136,92,51,70,26,27,26,30,43,77,67,64,""
24,61,66,57,83,69,141,61,84,104,88,102,73,42,40,30,27,23,24,10,7,18,31,52,65,""
25,60,45,73,78,55,82,80,125,69,80,97,54,60,37,30,24,13,19,9,15,22,36,60,58,""
26,54,87,94,86,77,65,97,140,108,134,154,111,72,92,49,50,35,41,37,114,50,68,107,175,""
27,148,128,176,137,210,140,167,156,174,191,176,156,111,79,79,47,46,35,21,48,49,71,-1,146,""
28,-1,114,150,191,181,172,197,156,160,170,155,156,108,80,75,66,47,31,22,20,42,72,98,106,""
29,109,136,158,142,175,160,156,126,130,149,162,123,138,100,66,54,31,35,31,26,45,-1,-1,-1,""
30,-1,-1,150,247,188,209,173,165,171,164,159,166,210,124,85,97,51,28,29,23,25,89,-1,-1,""
31,127,161,180,219,211,182,168,143,160,165,174,238,117,199,87,46,45,28,27,38,39,-1,-1,-1,""
