jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,46,44,72,64,62,57,50,51,65,67,41,41,34,32,25,18,13,19,25,28,38,38,37,40,""
02,35,46,59,54,58,60,45,44,42,33,37,27,40,30,24,7,16,16,17,22,18,30,48,38,""
03,55,63,69,72,66,62,53,46,40,47,52,39,34,46,42,39,25,36,40,50,63,66,77,100,""
04,106,135,138,169,153,186,188,159,93,93,84,69,62,38,19,21,12,19,15,19,27,32,37,34,""
05,36,41,51,52,47,49,47,37,40,34,26,33,25,14,13,7,8,11,20,21,36,37,34,41,""
06,47,53,67,63,55,54,43,43,49,47,36,35,22,24,20,11,9,12,17,23,18,26,29,32,""
07,37,52,48,41,55,41,59,44,58,41,34,18,27,16,13,6,8,14,21,15,28,39,32,51,""
08,38,65,70,62,56,32,34,40,33,39,35,21,20,16,18,10,11,7,21,27,28,36,37,47,""
09,53,47,55,62,47,42,39,32,46,32,35,33,24,14,23,7,10,8,20,16,18,43,31,47,""
10,36,32,42,38,40,36,35,25,36,36,27,25,22,13,17,11,8,11,16,13,27,28,25,34,""
11,38,42,33,33,51,45,30,33,41,30,22,29,18,14,7,8,8,10,12,12,27,37,28,40,""
12,41,44,53,51,51,43,38,33,36,29,35,38,22,10,18,13,22,15,15,14,27,28,34,36,""
13,51,66,54,74,60,46,42,34,41,43,39,18,25,24,11,20,17,14,20,27,26,34,57,43,""
14,45,49,39,62,46,40,28,36,38,29,35,29,27,18,12,17,13,12,9,25,33,31,29,30,""
15,29,32,45,50,39,39,39,39,38,35,23,27,35,21,12,7,10,7,21,19,14,32,41,33,""
16,33,51,55,57,46,42,30,45,43,43,33,25,26,21,21,14,10,13,14,22,27,28,24,31,""
17,42,37,38,51,41,46,31,32,31,36,24,18,22,7,16,12,6,9,12,27,32,27,33,38,""
18,44,45,46,48,55,39,36,42,34,40,42,35,29,21,12,11,17,11,16,20,26,28,36,41,""
19,51,54,52,46,45,35,32,33,48,36,45,29,22,17,13,9,3,17,24,29,33,31,46,40,""
20,48,35,53,64,54,47,45,38,53,45,39,31,24,13,14,7,11,16,20,15,23,20,28,30,""
21,43,43,36,34,38,32,39,28,33,41,19,32,19,19,14,14,4,13,14,15,21,31,25,44,""
22,47,45,49,47,58,32,32,4,4,2,20,13,16,12,11,6,10,10,7,5,8,13,16,29,""
23,23,33,34,29,21,21,20,18,20,22,15,19,21,15,23,17,13,13,11,15,33,38,32,25,""
24,39,34,46,60,41,44,29,41,44,23,30,16,23,12,8,9,4,9,12,15,24,19,27,21,""
25,42,28,42,48,35,32,33,27,27,33,35,31,25,19,20,8,5,13,10,20,20,23,27,41,""
26,35,59,53,38,52,32,27,32,37,40,33,16,17,18,14,10,9,6,9,9,27,29,27,25,""
27,29,41,28,32,22,25,33,17,40,43,29,30,11,13,6,5,13,5,14,12,25,29,23,18,""
28,38,34,30,30,38,34,19,25,24,25,24,16,20,16,13,8,7,10,14,17,17,38,23,29,""
29,29,30,26,31,33,29,32,28,21,12,19,13,8,12,7,7,6,11,13,8,21,23,26,27,""
30,30,32,27,30,27,25,16,29,25,25,24,21,13,9,14,7,5,9,13,15,17,27,30,28,""
31,30,29,44,33,35,35,19,29,25,36,24,18,16,10,10,8,7,17,11,20,18,22,25,-1,""
