feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,12,15,15,17,20,37,17,18,25,23,31,24,44,25,16,16,20,10,18,7,24,24,26,19,""
02,22,20,24,23,34,38,31,44,18,2,7,21,23,24,40,20,22,15,10,10,12,14,23,19,""
03,20,26,14,35,34,24,35,34,28,36,42,36,29,26,26,16,16,10,8,4,7,11,14,13,""
04,12,12,18,20,23,16,15,24,21,27,34,29,18,26,16,17,8,7,8,8,15,13,21,18,""
05,29,17,25,23,21,26,25,25,19,27,27,43,43,31,16,22,18,13,11,7,11,7,22,28,""
06,18,23,23,31,25,26,19,24,34,30,37,27,36,34,20,24,20,20,15,21,13,15,20,23,""
07,23,25,22,22,19,40,46,20,37,49,44,32,30,19,20,14,13,2,3,12,17,27,15,23,""
08,22,21,17,27,25,31,28,33,33,37,37,24,25,37,34,30,20,20,10,16,17,17,26,26,""
09,27,22,25,32,26,34,27,32,25,34,32,19,6,5,7,2,5,17,22,22,20,16,15,22,""
10,19,14,25,26,19,21,34,32,24,27,40,27,21,23,18,15,20,17,16,16,26,21,21,26,""
11,24,13,16,19,29,29,37,26,26,26,35,20,37,26,25,11,13,28,23,27,14,20,23,12,""
12,25,20,27,26,34,20,28,35,33,34,32,31,17,22,27,34,18,21,18,11,17,23,11,17,""
13,27,17,23,16,12,20,19,32,25,30,31,32,28,29,32,26,18,31,12,19,23,22,22,26,""
14,14,5,5,9,16,12,8,13,8,19,8,10,16,7,6,10,4,23,-1,4,6,6,4,11,""
15,5,3,8,6,9,4,9,4,2,2,28,16,15,14,10,9,11,3,14,10,11,15,26,16,""
16,16,16,20,13,12,21,32,28,29,35,27,22,16,18,11,6,5,13,11,7,-1,-1,-1,0,""
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,20,15,14,8,13,7,6,8,7,5,10,10,7,8,""
18,12,10,18,15,10,9,6,11,16,19,14,33,13,22,9,7,8,-1,4,6,6,6,2,9,""
19,5,9,10,9,12,9,11,8,10,16,9,10,11,9,6,6,6,3,4,5,7,9,12,6,""
20,10,3,8,13,12,16,10,5,16,13,14,12,10,10,5,10,5,7,4,2,6,9,7,9,""
21,8,4,10,12,10,10,7,12,15,18,18,12,13,8,7,7,9,5,6,2,4,5,4,6,""
22,5,7,1,7,8,7,7,8,9,9,11,8,5,5,4,-1,6,3,3,4,4,2,5,5,""
23,6,4,2,4,2,3,6,7,6,5,15,7,19,5,3,3,3,2,1,1,2,3,2,6,""
24,3,1,6,3,3,7,4,8,5,9,7,4,4,8,7,5,6,2,7,2,5,4,6,5,""
25,7,1,12,8,8,6,4,10,7,8,10,6,7,8,8,8,5,2,2,3,5,10,6,4,""
26,2,4,5,4,4,5,6,9,8,13,8,11,9,5,4,1,3,4,4,-1,1,5,9,7,""
27,4,5,6,10,6,8,12,3,16,5,9,5,3,6,3,4,2,-1,1,1,6,1,2,5,""
28,7,7,5,3,3,5,12,7,3,7,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
