Jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
1,6,5,3,7,8,8,7,8,7,7,7,6,3,2,2,1,1,0,1,3,1,0,0,3,""
2,5,7,2,4,17,13,14,16,13,10,9,6,4,6,2,1,1,3,3,0,2,1,4,2,""
3,1,3,2,4,7,5,8,9,12,16,8,5,6,1,2,2,1,0,1,0,0,2,1,2,""
4,5,4,4,6,6,11,11,22,13,11,9,16,8,7,3,3,0,0,1,0,1,3,2,3,""
5,4,3,3,4,8,5,12,19,20,12,10,13,12,0,2,0,3,1,3,0,0,1,1,3,""
6,1,2,5,4,4,7,9,27,18,4,5,5,8,8,1,3,2,0,1,0,1,0,1,3,""
7,1,3,0,5,9,14,14,24,15,8,13,6,8,9,6,0,1,1,1,0,0,0,1,2,""
8,1,2,5,4,7,10,14,24,22,8,7,9,10,9,1,2,1,0,1,0,0,0,1,1,""
9,4,4,6,6,14,17,7,21,15,14,6,12,4,7,5,5,1,0,1,0,0,2,4,2,""
10,1,2,0,4,3,9,15,25,42,18,21,7,9,5,2,2,1,0,2,0,0,1,1,1,""
11,2,1,7,8,6,11,28,20,25,18,8,10,10,4,2,1,3,1,1,1,1,3,2,1,""
12,6,3,4,8,6,16,19,18,19,18,11,15,3,12,1,2,2,3,0,0,0,2,1,1,""
13,3,3,2,3,6,3,7,19,17,7,12,3,7,9,2,2,2,0,0,1,1,0,2,1,""
14,5,2,2,4,4,10,10,24,15,15,2,3,3,9,2,3,0,1,1,0,3,3,2,1,""
15,4,4,5,2,7,9,8,17,16,3,4,8,5,5,6,2,0,0,2,1,0,1,3,3,""
16,2,2,8,4,10,10,14,15,15,7,8,10,6,6,0,5,1,1,0,0,0,4,2,3,""
17,3,1,2,6,7,6,18,18,22,19,6,6,10,8,3,3,0,0,2,1,0,1,2,3,""
18,3,4,4,8,8,9,9,13,18,19,7,5,6,6,5,2,1,1,0,1,2,1,2,0,""
19,4,2,2,9,7,11,8,13,7,7,7,12,6,5,6,3,2,1,1,0,1,1,2,7,""
20,8,7,4,7,6,8,9,9,13,9,2,6,6,3,3,5,1,1,0,2,1,2,1,2,""
21,6,6,4,2,9,6,6,5,10,8,5,7,2,7,2,3,0,1,3,1,2,0,2,2,""
22,7,6,1,3,3,6,10,14,14,12,7,6,5,0,8,7,0,1,1,1,1,2,5,1,""
23,6,6,3,7,7,7,7,10,11,7,6,2,3,2,2,3,2,0,0,0,0,1,0,3,""
24,4,3,6,13,14,11,11,20,15,12,5,9,3,4,6,2,1,3,1,0,0,1,4,2,""
25,1,6,9,9,9,9,5,8,8,6,3,2,2,2,0,1,5,2,3,0,1,1,1,4,""
26,1,3,4,2,9,3,7,10,4,6,4,2,3,5,4,1,2,1,1,0,0,2,1,1,""
27,3,2,8,6,4,4,7,12,7,8,8,8,5,3,1,0,1,2,0,2,3,0,2,3,""
28,2,4,4,4,6,5,12,10,10,1,5,3,2,4,4,1,2,0,2,1,3,1,2,1,""
29,2,1,5,2,5,8,8,8,9,4,5,6,5,2,0,1,1,1,1,0,2,2,2,3,""
30,2,5,1,5,6,5,4,15,3,2,1,2,6,2,1,0,0,0,0,0,0,1,2,3,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
