dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,47,50,52,46,54,49,34,71,81,77,47,33,72,39,41,29,16,54,41,70,51,52,46,39,""
02,39,41,54,55,36,24,26,42,22,12,22,64,80,52,18,12,25,97,59,24,41,46,46,48,""
03,34,49,44,-1,0,53,81,87,52,30,-1,78,48,26,18,30,42,15,30,49,25,40,48,29,""
04,38,42,51,65,55,42,58,85,31,46,23,40,29,27,24,35,22,27,73,46,76,59,41,50,""
05,65,43,52,51,62,49,54,87,100,106,0,73,51,39,49,39,28,30,34,64,34,48,49,33,""
06,45,48,54,71,55,54,62,89,104,0,81,57,21,28,28,33,25,35,51,51,42,49,51,49,""
07,-1,80,61,65,41,32,57,113,65,82,0,84,53,46,57,18,23,42,25,49,53,38,68,52,""
08,55,-1,114,63,66,51,59,119,105,85,96,43,53,32,36,30,21,42,39,47,54,27,25,52,""
09,51,62,50,-1,108,56,67,110,124,-1,0,51,63,34,45,42,12,61,63,57,58,48,53,43,""
10,-1,78,58,55,78,69,-1,-1,0,136,83,64,48,44,18,55,28,48,24,-1,86,71,45,58,""
11,47,43,48,70,61,72,72,106,43,128,89,61,72,46,36,36,26,25,34,73,74,79,80,79,""
12,52,63,78,72,80,42,104,137,138,150,82,81,106,20,53,43,-1,53,71,69,91,108,111,105,""
13,79,81,93,111,105,86,-1,0,118,139,93,34,40,19,34,35,29,74,124,0,154,134,160,159,""
14,88,104,109,144,136,74,119,156,141,135,58,29,7,1,3,1,0,3,15,55,86,78,99,94,""
15,43,55,-1,85,49,38,24,45,16,23,21,2,6,5,3,-1,7,3,16,13,16,28,30,30,""
16,24,27,32,33,33,19,20,42,40,33,25,15,8,15,12,7,14,13,5,19,10,21,10,7,""
17,6,13,20,15,11,13,16,28,17,33,63,26,13,15,18,21,9,25,42,36,-1,81,72,24,""
18,32,35,31,-1,66,42,35,36,42,34,30,35,8,11,4,9,7,4,10,48,23,27,29,16,""
19,9,11,15,15,17,23,13,2,9,10,-1,6,3,1,2,4,1,1,1,4,19,13,4,1,""
20,-1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,7,7,68,45,17,39,29,""
21,23,14,17,25,41,26,22,26,26,-1,59,6,4,1,6,15,11,6,13,13,15,18,33,20,""
22,29,43,42,40,-1,65,52,90,59,78,50,37,78,41,58,19,17,-1,70,65,40,39,31,30,""
23,34,29,35,55,71,52,59,74,53,75,82,46,34,22,22,22,22,40,42,-1,95,38,30,41,""
24,24,18,30,17,35,37,65,86,27,33,48,46,29,28,-1,26,5,5,24,20,45,29,-1,58,""
25,29,35,31,30,42,31,45,40,14,26,13,12,9,5,10,11,13,14,16,17,7,11,17,19,""
26,31,30,28,30,43,45,30,53,27,-1,41,12,14,10,24,12,10,25,4,18,16,20,26,22,""
27,32,35,39,55,46,50,47,-1,71,52,37,20,33,17,24,28,21,66,36,11,22,-1,56,34,""
28,30,33,42,34,38,60,30,52,28,31,22,10,14,4,24,29,23,40,23,27,18,16,18,10,""
29,9,15,18,15,22,5,11,17,6,6,59,35,18,-1,10,4,2,9,-1,53,19,-1,-1,72,""
30,31,20,23,36,32,21,14,15,12,9,3,13,8,4,3,13,8,8,11,-1,26,17,8,13,""
31,8,9,8,20,29,29,24,17,10,16,20,11,17,15,42,4,8,15,21,23,19,28,39,-1,""
