may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,42,56,57,61,59,53,53,52,56,55,46,42,44,35,23,20,19,21,24,21,31,42,41,29,""
02,37,38,39,58,70,58,62,50,77,61,45,38,46,27,23,22,17,18,13,14,22,32,32,48,""
03,37,41,38,53,44,46,47,61,50,46,55,40,28,27,26,24,22,28,24,21,25,28,35,31,""
04,12,0,0,0,0,0,0,0,0,0,0,0,16,31,28,27,37,23,23,25,33,25,35,33,""
05,40,36,50,60,68,68,50,66,87,74,61,46,19,33,24,25,29,30,24,36,25,33,35,28,""
06,44,39,64,65,82,89,89,91,85,74,81,53,42,30,33,35,27,31,25,22,15,33,34,29,""
07,56,54,44,77,76,72,90,84,64,72,47,46,38,24,29,30,31,25,19,16,27,42,28,25,""
08,45,50,46,71,70,62,76,96,78,62,45,54,23,34,29,21,24,39,27,40,30,32,38,43,""
09,46,53,70,81,64,63,72,55,63,52,53,50,55,36,35,30,33,22,22,25,33,33,42,52,""
10,48,60,57,87,79,83,83,66,86,83,61,43,54,40,38,20,31,30,22,32,21,37,39,38,""
11,44,44,61,72,83,58,65,81,58,43,51,64,46,36,41,33,26,40,26,35,42,32,43,43,""
12,51,56,62,63,66,59,49,62,62,49,64,56,51,25,40,25,34,31,25,30,40,44,40,41,""
13,36,33,67,75,78,51,52,85,67,68,69,41,34,40,30,30,15,15,26,30,46,38,36,45,""
14,36,42,48,72,71,57,81,50,62,57,65,59,47,34,28,27,20,26,41,33,32,40,38,61,""
15,54,41,54,68,73,76,76,72,68,21,0,0,0,0,0,0,0,2,33,24,23,41,37,45,""
16,52,54,58,57,84,77,67,53,63,63,65,59,35,31,34,37,30,31,29,39,25,52,53,47,""
17,61,57,62,77,80,78,80,51,52,50,56,62,43,39,50,38,23,37,36,23,35,35,42,59,""
18,57,65,57,61,74,69,62,75,48,47,40,48,41,35,39,42,39,29,31,31,40,34,38,44,""
19,52,43,65,69,75,84,54,59,56,57,60,52,52,23,50,47,37,40,40,54,55,41,40,41,""
20,52,61,63,85,79,67,74,56,47,67,55,59,39,49,27,33,40,38,22,3,33,45,35,53,""
21,52,55,51,71,68,51,69,56,54,64,52,47,38,27,48,29,38,19,24,25,29,40,47,53,""
22,43,39,53,48,70,69,62,48,33,44,41,42,40,30,35,30,33,27,33,39,51,38,49,49,""
23,53,65,58,60,67,63,60,42,54,47,46,35,32,18,25,22,22,39,28,26,41,38,47,50,""
24,64,38,52,66,60,69,63,49,38,35,40,44,39,36,31,32,39,36,35,43,36,46,38,46,""
25,47,48,58,37,64,60,62,47,52,35,28,30,43,24,30,21,36,56,40,47,45,37,68,51,""
26,43,51,53,66,79,66,70,66,73,58,74,59,43,44,39,42,55,48,38,41,41,52,57,61,""
27,70,58,68,78,90,92,65,60,65,63,47,47,40,35,36,50,57,36,40,32,43,48,70,72,""
28,63,59,9,5,14,5,12,33,15,4,9,23,37,38,48,50,55,49,33,38,49,42,45,59,""
29,68,59,79,90,93,104,92,82,71,70,55,62,56,48,42,53,33,51,33,37,44,45,50,52,""
30,51,66,68,79,80,69,64,82,73,84,65,64,49,38,40,48,58,47,32,34,38,32,40,49,""
31,52,42,69,72,93,86,78,74,84,79,78,87,62,51,66,42,48,52,36,54,40,62,57,-1,""
