jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,7,3,6,9,9,7,5,9,10,0,5,6,4,5,0,1,1,0,0,0,0,0,1,5,""
02,2,8,5,10,9,13,1,10,18,12,5,6,3,2,4,4,1,1,0,1,0,2,2,2,""
03,6,4,5,7,6,12,16,18,31,22,19,18,11,7,5,4,0,1,0,3,1,0,3,4,""
04,7,5,3,7,7,10,14,23,25,29,26,21,17,9,10,2,2,0,1,0,3,2,0,3,""
05,3,6,8,9,13,9,16,17,13,16,24,22,10,6,6,6,3,2,1,0,2,2,5,2,""
06,2,3,5,7,12,11,18,28,40,35,22,23,11,10,4,9,1,2,2,1,1,1,2,1,""
07,2,1,2,6,10,12,25,27,31,25,28,17,22,26,4,7,2,2,2,4,2,1,1,6,""
08,7,4,3,7,10,10,14,29,42,28,25,12,17,1,3,1,2,0,3,3,0,2,3,1,""
09,3,3,0,6,13,15,26,34,40,63,26,21,14,8,9,8,4,2,4,0,0,1,3,1,""
10,1,5,4,10,6,14,23,40,36,38,19,15,13,11,3,5,3,0,0,0,2,0,6,1,""
11,0,3,5,7,15,11,18,16,26,24,6,18,8,9,10,3,2,1,1,0,0,1,2,3,""
12,3,4,2,5,10,13,19,25,32,21,16,12,12,3,4,2,2,0,0,2,1,1,1,2,""
13,3,4,2,10,9,9,13,20,30,13,5,6,3,8,2,3,2,1,0,1,0,1,1,4,""
14,5,3,4,10,14,13,22,27,21,19,13,16,9,8,2,1,0,1,2,2,4,1,2,1,""
15,3,1,5,1,9,15,15,15,25,11,13,6,6,5,2,3,4,2,2,1,0,2,3,5,""
16,5,4,3,6,11,10,14,24,25,12,10,10,11,7,4,3,0,2,1,0,1,3,3,1,""
17,2,1,7,12,5,6,12,16,13,22,14,8,6,10,7,3,1,0,1,1,0,2,0,7,""
18,4,2,4,11,6,12,18,19,12,13,5,11,8,9,5,4,4,2,3,0,3,1,5,2,""
19,9,8,9,6,12,9,13,13,17,8,5,-1,-1,5,8,4,2,0,1,1,1,1,3,6,""
20,4,5,2,10,9,7,13,20,21,13,4,5,3,6,7,6,3,1,1,1,1,3,0,2,""
21,2,4,2,8,8,9,16,17,19,13,8,7,9,3,4,6,2,3,1,2,1,0,3,2,""
22,1,10,2,13,3,4,14,13,11,22,17,7,13,6,7,2,1,3,4,0,0,4,1,1,""
23,2,6,5,8,7,11,15,15,14,9,10,1,7,8,5,3,2,2,1,0,2,0,2,2,""
24,2,3,8,9,10,6,17,15,19,20,18,7,2,10,8,2,0,4,1,1,2,2,1,6,""
25,8,9,6,11,5,8,8,19,18,23,11,5,8,7,8,1,3,2,0,2,3,0,1,7,""
26,1,5,5,12,7,9,9,12,16,6,3,8,2,10,5,1,3,0,0,0,1,1,2,3,""
27,3,4,1,7,10,9,8,13,12,13,13,11,11,5,2,7,1,1,1,0,2,1,3,7,""
28,3,5,6,9,7,10,14,12,7,13,6,6,7,3,8,5,2,3,3,1,0,1,5,2,""
29,0,6,6,7,12,6,17,9,13,11,7,10,5,8,8,2,3,1,0,0,3,4,0,6,""
30,1,5,3,5,6,8,11,13,15,16,15,11,10,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
