jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,59,50,40,55,68,70,83,60,72,61,62,41,48,37,37,36,39,29,32,26,30,31,39,53,""
02,42,50,57,48,41,65,106,95,118,65,66,48,27,30,27,32,24,17,24,32,33,29,39,47,""
03,40,50,39,54,46,43,46,19,-1,10,50,34,31,29,21,30,26,31,21,28,27,32,38,51,""
04,66,63,42,58,62,49,67,51,62,46,54,41,30,31,28,25,35,22,27,29,28,31,43,48,""
05,46,51,57,46,60,57,55,68,62,53,45,38,30,25,33,28,24,23,19,28,38,26,25,49,""
06,58,47,59,51,65,58,42,54,67,39,12,-1,4,27,9,-1,-1,14,27,29,28,32,37,49,""
07,60,58,55,49,48,41,45,67,59,58,49,24,36,30,27,23,27,31,30,21,30,39,43,53,""
08,59,60,49,47,62,54,63,51,57,48,39,48,27,29,28,23,21,31,20,33,35,35,41,49,""
09,49,50,54,54,49,48,45,56,51,37,35,39,23,15,-1,5,28,40,25,22,28,29,28,38,""
10,53,60,55,54,53,39,63,53,62,58,42,42,30,19,30,20,24,22,26,33,32,35,36,45,""
11,57,55,53,59,54,36,50,42,53,41,32,34,26,22,32,22,24,24,23,31,29,39,47,38,""
12,40,47,63,73,45,65,42,62,61,51,36,37,31,25,33,33,14,-1,8,36,29,32,38,49,""
13,48,52,70,50,48,51,43,80,63,48,42,31,25,30,24,28,27,22,34,21,29,37,34,42,""
14,56,37,66,76,46,50,57,53,56,38,35,27,30,22,14,25,36,34,33,23,33,45,38,55,""
15,63,65,68,79,60,43,49,53,65,48,46,29,39,28,30,25,34,28,22,17,-1,5,35,41,""
16,49,61,56,58,57,54,48,56,46,48,43,36,28,27,22,27,24,29,37,21,28,32,49,35,""
17,60,54,57,57,60,53,59,65,53,65,45,46,37,38,29,20,30,25,34,21,37,47,32,44,""
18,62,61,83,72,63,50,60,60,65,42,28,32,30,30,40,23,30,32,34,35,48,44,19,0,""
19,10,55,58,66,60,59,46,132,76,42,38,44,35,29,29,28,25,29,24,35,39,47,42,31,""
20,56,71,58,77,76,60,50,53,45,48,49,37,51,27,28,27,32,29,24,30,29,45,60,53,""
21,46,51,61,69,55,62,50,53,48,46,53,38,29,27,42,38,26,36,38,31,43,48,45,67,""
22,68,29,-1,15,75,55,51,58,63,65,43,38,33,40,24,35,48,39,31,40,45,52,40,51,""
23,89,94,78,75,68,64,60,68,66,59,48,41,40,30,35,33,41,36,31,30,41,35,49,56,""
24,72,86,77,72,71,53,52,52,46,44,35,40,35,25,34,29,34,32,32,35,47,48,40,55,""
25,54,65,71,84,46,-1,9,63,49,51,37,45,42,31,34,37,32,32,24,48,46,50,41,42,""
26,75,61,72,97,81,77,61,49,47,39,38,27,32,45,31,32,26,37,44,39,47,49,48,66,""
27,57,84,93,81,78,72,74,56,60,61,46,28,37,29,32,30,30,31,28,41,32,33,44,55,""
28,69,83,97,101,81,67,63,26,-1,7,31,46,25,24,27,28,27,34,20,29,37,38,37,44,""
29,61,62,85,77,79,71,73,61,51,48,46,37,25,29,28,32,25,30,27,33,30,37,46,44,""
30,67,72,73,61,62,68,76,61,59,40,35,32,27,25,19,30,22,26,17,25,21,32,40,39,""
31,68,61,64,69,74,52,57,42,41,65,23,-1,20,29,33,36,23,26,24,35,32,26,41,7,""
