jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,12,22,11,11,20,22,25,25,24,21,21,27,19,16,17,10,9,10,11,9,13,8,14,22,""
02,15,16,15,13,17,12,27,19,15,22,21,22,54,12,16,14,20,12,13,16,10,13,8,17,""
03,14,18,12,18,15,12,20,14,17,14,10,8,11,10,5,15,4,5,6,1,6,22,17,11,""
04,12,14,8,11,18,13,19,13,15,19,24,11,17,10,10,13,14,10,6,15,14,15,17,17,""
05,13,27,17,21,20,18,21,18,15,23,22,17,19,13,17,23,8,7,8,12,7,15,6,18,""
06,23,30,13,12,17,27,24,17,14,20,20,9,14,36,12,11,10,10,13,9,5,12,9,21,""
07,14,7,19,12,10,17,16,26,25,21,23,19,16,39,12,5,10,31,7,2,10,13,12,19,""
08,15,20,21,26,20,22,18,15,18,25,25,12,18,15,17,8,14,11,14,11,43,11,14,22,""
09,18,9,15,33,20,24,20,20,18,19,20,16,20,7,13,19,11,19,13,16,14,13,13,17,""
10,27,16,13,24,27,12,22,29,19,20,20,49,23,19,19,61,15,12,6,12,12,14,16,17,""
11,22,25,24,15,14,16,30,20,14,23,17,20,15,12,9,16,16,11,14,12,23,20,17,18,""
12,18,25,13,28,21,23,41,175,192,180,196,315,202,296,237,320,682,642,867,812,696,221,23,26,""
13,27,25,30,19,19,11,25,22,28,24,22,35,20,11,14,19,12,21,26,13,30,23,18,9,""
14,19,27,22,23,23,20,29,16,40,12,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
15,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,""
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
17,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
18,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,0,""
19,-1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
20,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,19,-1,-1,3,5,4,10,""
21,6,8,5,7,3,13,7,15,15,11,11,12,31,2,1,3,-1,-1,4,9,2,6,5,8,""
22,4,12,6,6,6,8,7,13,12,11,5,2,9,2,1,5,14,4,1,1,-1,1,-1,3,""
23,1,10,5,1,3,-1,3,2,2,-1,2,1,-1,1,-1,-1,-1,1,2,-1,1,2,-1,1,""
24,-1,6,2,1,-1,1,2,1,1,1,1,-1,-1,34,237,64,25,3,3,3,3,8,6,10,""
25,12,14,15,22,14,18,17,15,21,14,8,11,13,5,18,9,8,14,13,14,11,19,15,22,""
26,29,33,26,28,26,16,9,16,15,16,16,26,11,76,14,26,6,9,13,6,18,11,19,24,""
27,23,31,20,13,11,12,11,22,18,12,8,9,14,12,9,9,7,2,7,15,12,6,6,4,""
28,3,5,2,2,-1,-1,-1,2,-1,3,11,-1,-1,4,2,-1,-1,-1,-1,-1,-1,1,1,0,""
29,-1,4,1,1,-1,1,2,2,3,1,2,1,-1,4,-1,-1,-1,-1,2,1,1,-1,-1,0,""
30,-1,4,2,-1,1,1,1,1,-1,1,1,-1,5,1,-1,-1,3,3,3,6,9,9,14,12,""
31,16,26,27,13,25,20,19,20,13,8,16,19,12,10,10,8,10,8,13,17,7,8,7,2,""
[E]hza,"}}el~f{}aIphaff'jfd"
