dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,48,64,67,141,197,191,198,139,123,166,199,248,348,642,224,204,124,104,76,100,100,47,30,78,""
02,67,85,89,82,74,91,103,136,101,85,83,104,144,113,126,532,576,387,433,424,518,664,373,296,""
03,264,261,222,109,108,164,156,146,114,96,102,116,86,83,67,51,44,48,44,42,95,270,160,171,""
04,627,355,112,31,18,88,233,364,733,575,433,500,373,651,514,747,564,670,784,865,386,171,283,183,""
05,206,161,217,215,233,190,250,231,152,136,128,92,75,78,41,43,36,37,45,67,75,53,63,70,""
06,118,130,213,187,217,116,238,346,191,149,189,405,347,92,115,95,96,99,121,103,83,214,203,429,""
07,687,726,155,283,436,188,142,136,140,104,154,142,205,103,63,77,280,68,31,52,46,58,36,41,""
08,57,74,85,74,96,80,82,116,66,73,87,84,59,59,39,-1,-1,-1,-1,-1,-1,-1,-1,0,""
09,24,52,78,144,105,111,148,191,197,246,177,149,128,133,104,99,106,112,89,126,116,145,84,86,""
10,95,115,139,200,147,126,100,120,150,154,132,126,94,114,118,94,116,97,63,75,112,114,76,59,""
11,98,134,147,189,212,247,254,279,353,356,317,291,279,236,256,290,281,296,256,256,445,434,325,735,""
12,864,863,837,726,524,493,479,392,358,413,378,283,277,225,165,179,197,185,220,265,313,350,322,302,""
13,281,275,359,404,431,365,313,308,288,285,266,261,227,232,167,161,54,86,300,439,677,574,185,116,""
14,88,99,122,135,127,83,179,671,543,110,303,528,126,111,154,674,851,856,682,436,707,454,108,519,""
15,181,115,189,86,96,122,102,98,91,86,71,70,109,36,87,167,174,82,62,132,213,604,303,58,""
16,96,137,213,191,314,163,266,274,378,344,313,231,67,239,533,366,267,300,268,221,192,100,195,669,""
17,314,284,231,400,216,469,684,746,509,77,124,715,300,369,484,190,170,262,192,95,12,11,66,569,""
18,714,421,350,318,305,336,242,312,337,276,341,347,295,250,235,265,202,276,235,239,213,196,145,200,""
19,198,233,245,288,246,6,7,7,7,9,9,9,6,442,336,139,17,11,15,16,24,9,152,463,""
20,368,234,75,40,54,47,33,55,33,115,10,9,11,13,12,6,7,10,20,7,15,6,6,6,""
21,7,6,6,6,6,6,6,6,11,12,9,19,37,28,264,84,294,303,211,702,722,165,6,12,""
22,14,24,7,13,12,6,6,6,8,6,8,11,143,121,10,12,46,328,73,9,10,8,9,11,""
23,15,17,23,39,56,62,132,233,320,285,338,603,433,493,453,515,423,679,591,468,580,589,558,448,""
24,558,560,559,446,560,559,557,444,441,534,541,533,427,536,542,438,441,552,437,543,542,436,219,553,""
25,549,548,542,431,539,434,430,539,541,432,539,540,543,436,549,551,547,543,547,545,436,539,544,326,""
26,546,545,435,548,542,326,434,543,541,538,432,536,543,544,543,435,547,547,540,431,544,542,432,541,""
27,434,324,542,539,542,648,539,539,541,432,538,540,540,541,437,438,547,544,547,545,540,540,432,545,""
28,544,539,541,541,542,539,539,432,543,540,539,324,-1,-1,41,185,63,34,19,13,41,35,21,19,""
29,23,30,38,29,10,24,172,118,172,231,219,243,21,7,20,26,13,19,13,14,16,25,19,19,""
30,20,19,31,33,46,45,43,34,43,31,42,33,32,29,21,20,7,5,16,22,26,22,31,23,""
31,22,24,34,38,36,43,53,38,63,52,85,62,1,39,18,56,47,12,17,28,23,27,27,3,""
