feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,13,22,19,18,23,13,9,13,5,4,7,13,6,4,3,3,6,7,6,6,7,5,5,9,""
02,16,10,9,21,19,10,13,10,11,11,16,7,9,12,6,9,3,4,4,6,8,9,13,21,""
03,19,22,23,18,24,26,14,7,8,11,9,13,11,10,11,13,12,8,7,14,8,18,18,15,""
04,18,19,11,19,23,19,15,9,13,9,12,1,9,6,9,1,4,7,10,10,10,11,10,8,""
05,12,18,15,15,17,5,14,8,11,17,13,14,6,3,15,2,2,3,6,9,6,6,14,15,""
06,13,18,14,16,15,12,14,7,7,9,5,6,6,6,4,4,1,7,6,5,5,7,12,10,""
07,8,13,15,17,13,9,7,2,6,5,9,12,10,6,6,2,4,5,3,9,4,9,1,2,""
08,4,7,7,12,16,15,13,5,11,11,2,2,6,7,12,6,4,2,9,5,3,8,16,4,""
09,4,6,3,5,5,4,5,4,11,9,7,9,3,2,7,6,6,8,6,5,10,2,9,3,""
10,4,5,10,10,27,15,19,11,12,7,7,5,6,6,3,3,11,7,16,9,6,8,2,3,""
11,3,6,4,6,11,5,3,4,2,14,8,7,1,5,2,6,2,3,8,5,5,8,5,8,""
12,6,2,6,4,1,6,3,3,6,9,13,9,11,5,5,8,8,5,5,13,8,11,9,17,""
13,7,4,3,4,6,7,6,2,6,8,11,2,0,1,1,1,2,5,0,5,2,8,7,5,""
14,9,7,14,13,15,11,7,1,5,4,6,12,4,5,2,5,5,9,4,12,9,15,14,15,""
15,20,19,16,19,9,9,10,10,5,0,5,3,0,2,5,8,6,7,13,9,11,12,10,3,""
16,6,10,6,18,7,9,16,14,11,9,12,9,8,6,14,11,5,7,6,0,1,3,8,10,""
17,7,7,12,13,12,11,3,11,13,2,7,5,15,7,0,4,4,3,5,1,3,5,3,0,""
18,2,3,6,5,4,4,3,1,5,5,1,3,0,3,1,2,5,1,7,2,7,3,4,4,""
19,1,7,14,3,2,4,2,6,4,8,3,2,2,4,3,2,1,5,4,1,3,3,3,2,""
20,2,10,12,11,5,9,6,3,6,10,6,4,6,2,4,5,0,2,2,0,1,1,9,5,""
21,5,0,3,3,0,2,1,1,1,4,4,2,3,1,3,0,2,0,0,0,0,0,0,2,""
22,1,2,4,2,1,2,4,1,8,1,0,3,0,3,0,1,0,0,2,1,2,0,0,2,""
23,0,2,2,2,0,1,2,0,0,3,0,2,0,2,1,2,3,0,1,0,2,0,2,3,""
24,3,0,2,1,5,3,1,3,0,2,2,1,1,2,1,1,2,1,0,0,1,0,5,3,""
25,12,17,13,25,20,12,14,4,5,8,11,7,9,3,1,2,3,4,1,2,2,5,2,5,""
26,12,3,9,7,9,9,1,11,5,5,5,4,2,3,5,4,1,4,2,1,5,8,5,4,""
27,2,8,7,7,5,5,4,1,2,4,11,6,1,1,2,1,5,1,4,4,3,3,4,10,""
28,10,10,12,6,8,3,1,8,4,8,2,1,7,7,1,7,3,9,1,3,3,4,5,7,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]cfahg'jf,"zzlgzIzbpgl}'kl"
