apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,1,3,3,3,3,5,4,1,2,1,3,2,1,1,0,0,0,0,0,0,0,0,3,4,""
02,2,1,2,3,1,4,2,1,3,0,2,0,1,0,3,2,2,0,1,0,0,0,2,1,""
03,3,2,1,3,2,2,2,2,2,1,0,2,1,0,0,0,0,0,1,0,1,0,2,2,""
04,1,4,3,4,2,1,0,3,0,2,5,2,1,2,0,0,0,0,0,0,0,1,0,0,""
05,1,1,2,1,4,4,1,0,9,1,0,1,3,0,1,0,0,0,0,1,0,0,3,1,""
06,5,2,4,3,4,4,3,5,3,3,2,3,2,1,0,1,0,1,0,0,1,2,0,3,""
07,0,2,1,2,4,3,4,5,0,3,0,2,1,0,0,0,0,0,0,0,1,0,0,1,""
08,1,3,5,4,1,6,1,0,3,1,1,1,4,0,1,0,0,1,0,0,2,2,2,2,""
09,3,2,3,0,1,3,5,5,9,3,4,1,1,1,0,0,0,0,0,0,1,0,0,0,""
10,1,2,3,1,3,3,6,2,0,3,2,3,2,1,0,0,0,0,0,0,0,0,3,0,""
11,1,2,1,2,5,4,6,6,2,4,4,1,1,1,0,0,0,0,0,1,0,1,1,0,""
12,1,1,1,1,4,3,5,4,1,5,2,3,1,1,1,1,3,0,0,0,0,0,1,0,""
13,2,2,4,1,3,7,7,1,4,1,1,1,0,2,0,0,0,1,0,0,2,1,0,2,""
14,2,2,0,3,5,2,4,5,4,3,3,2,0,1,1,1,0,0,0,0,0,0,0,3,""
15,4,2,1,5,4,6,2,4,3,3,2,2,1,0,0,0,0,0,1,0,0,2,1,1,""
16,2,0,0,4,5,1,3,5,2,4,0,0,1,1,0,0,1,0,0,0,1,1,1,2,""
17,2,2,1,2,4,4,5,2,3,3,2,1,1,2,0,0,0,0,1,0,0,0,1,4,""
18,1,0,2,3,4,6,1,2,1,0,1,2,3,0,0,1,0,0,0,1,1,0,3,0,""
19,1,2,2,2,4,7,4,8,7,3,1,3,0,1,2,0,0,0,0,0,1,0,0,0,""
20,1,3,1,8,5,12,5,4,3,3,1,0,0,0,0,0,0,0,1,0,0,1,4,3,""
21,5,8,8,1,5,6,6,3,8,5,3,4,4,1,0,2,0,0,0,0,1,1,3,7,""
22,8,11,19,15,17,12,21,11,9,3,5,1,0,2,0,0,0,1,1,0,1,3,1,5,""
23,4,7,8,7,10,7,10,7,3,5,4,5,2,0,0,1,1,1,0,1,1,3,2,4,""
24,1,4,3,3,5,4,2,7,7,5,2,1,1,2,1,0,2,1,0,0,1,1,1,0,""
25,6,2,3,2,7,6,3,5,8,6,3,2,1,2,0,1,0,0,0,0,1,2,2,1,""
26,3,3,1,1,4,3,12,4,7,2,4,2,0,1,1,1,2,0,0,0,0,0,0,6,""
27,4,2,5,4,1,7,4,1,2,8,4,3,3,0,0,0,3,0,2,0,1,3,0,2,""
28,0,2,2,7,4,7,10,5,4,1,5,3,0,2,2,1,0,0,0,3,0,0,0,0,""
29,0,2,1,3,4,4,3,3,3,2,3,1,0,1,1,1,2,0,0,0,2,0,2,1,""
30,1,1,2,3,9,3,8,5,4,3,2,4,2,1,1,1,0,1,0,1,1,0,1,1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
