may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,5,9,7,7,12,13,8,7,12,19,13,10,15,7,8,6,7,3,3,7,0,5,5,5,""
02,10,8,8,14,15,13,16,16,25,18,24,18,11,14,13,10,6,4,8,3,3,3,6,6,""
03,9,11,13,13,10,19,14,13,11,15,15,11,16,12,4,7,2,6,2,0,7,3,3,7,""
04,7,7,13,14,24,14,23,26,31,7,18,8,6,6,5,5,5,2,3,2,4,2,1,1,""
05,5,7,3,13,8,25,17,34,37,19,23,15,25,10,9,5,5,5,4,1,1,5,3,3,""
06,4,7,21,27,64,33,59,64,86,72,54,37,39,11,11,4,3,3,0,2,2,6,4,6,""
07,8,14,16,13,23,31,30,46,37,36,28,34,21,15,11,10,1,7,8,5,7,1,10,4,""
08,7,6,7,13,21,20,26,25,14,21,18,16,19,15,9,7,5,5,2,2,3,0,3,3,""
09,12,12,11,11,20,24,17,11,13,14,20,19,9,12,5,5,4,1,3,5,1,5,6,4,""
10,9,7,9,15,14,13,20,18,19,24,22,21,15,15,11,13,5,2,4,2,1,4,1,6,""
11,5,7,7,17,7,23,9,11,25,15,20,13,8,16,15,8,10,2,1,3,0,5,4,7,""
12,7,4,11,15,7,12,16,17,16,10,20,14,18,11,13,4,4,8,1,2,2,3,6,5,""
13,7,4,7,13,10,12,13,17,15,15,19,19,10,11,24,60,25,9,2,4,5,3,3,2,""
14,7,5,11,13,14,12,11,19,10,15,16,18,7,11,7,10,6,4,2,4,3,0,4,4,""
15,7,14,5,14,11,15,9,11,12,13,26,14,15,8,7,10,3,5,3,3,2,6,5,1,""
16,7,4,8,14,12,16,19,7,16,16,21,15,15,11,7,6,0,2,0,2,1,2,6,5,""
17,5,4,14,12,11,13,12,10,9,10,15,40,22,14,9,11,4,5,6,1,2,8,10,5,""
18,6,11,9,14,15,13,37,9,12,9,30,19,10,10,6,6,10,7,3,2,0,4,4,7,""
19,3,6,4,10,10,13,13,6,11,16,9,13,28,13,13,3,6,10,4,1,2,3,1,6,""
20,7,4,7,16,13,13,19,7,5,13,14,15,9,7,11,10,5,4,4,2,1,2,5,8,""
21,13,9,13,11,13,19,9,18,24,26,11,12,13,16,17,9,4,1,3,3,3,2,5,5,""
22,6,7,3,7,11,5,12,10,5,9,14,15,17,5,4,5,12,4,2,2,4,1,6,5,""
23,3,7,8,6,11,12,5,6,4,7,9,7,14,9,7,29,9,4,2,3,4,2,1,6,""
24,8,6,5,11,7,7,5,10,10,11,6,6,15,9,3,8,2,9,2,3,2,3,0,3,""
25,3,4,7,10,6,14,9,4,9,9,5,11,6,7,6,3,3,2,1,2,2,3,4,5,""
26,6,5,2,5,7,6,10,3,10,8,9,13,9,11,4,6,2,2,1,2,2,4,0,1,""
27,2,10,5,7,8,7,6,5,4,5,8,20,10,14,15,7,4,1,3,2,1,3,2,3,""
28,6,4,8,12,13,10,8,10,3,7,11,13,19,13,8,9,5,4,1,1,0,3,5,5,""
29,3,2,9,7,6,10,10,16,8,7,9,12,11,15,12,8,7,2,4,2,2,4,4,3,""
30,7,6,10,13,9,12,11,14,4,6,10,12,8,16,4,4,3,2,3,3,2,1,2,7,""
31,3,5,8,9,15,11,3,8,9,4,7,12,7,5,10,6,5,5,4,3,2,3,4,-1,""
