jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,8,9,25,18,19,18,15,16,19,17,21,17,15,15,18,9,8,14,11,4,9,7,14,13,""
02,12,18,21,13,22,19,24,12,16,12,12,16,18,20,9,12,14,10,2,4,11,4,5,16,""
03,12,3,24,23,25,28,18,19,25,15,25,25,27,14,16,14,15,15,7,9,8,9,9,23,""
04,23,20,29,35,24,39,16,24,-1,-1,13,11,15,34,22,19,24,11,6,11,12,10,3,7,""
05,10,29,31,35,31,25,30,42,36,35,29,26,36,35,16,19,8,10,12,12,2,8,11,18,""
06,24,30,25,41,44,34,36,23,27,27,40,41,31,28,23,27,34,18,15,10,7,9,6,10,""
07,20,31,37,48,30,50,31,34,40,42,42,47,50,30,32,25,28,21,11,8,3,7,13,7,""
08,-1,14,24,22,11,20,14,17,16,20,12,12,17,13,11,17,11,9,2,4,4,6,10,5,""
09,10,12,17,12,19,12,9,8,12,11,19,11,16,24,13,13,8,4,6,3,3,8,7,7,""
10,3,14,15,11,17,15,-1,20,20,26,32,41,32,29,14,27,13,17,7,4,12,11,12,19,""
11,20,19,22,24,28,28,20,19,26,27,17,20,19,10,18,15,23,13,9,3,4,11,8,11,""
12,15,24,36,32,37,24,21,22,31,23,33,29,31,38,30,20,25,21,13,14,13,5,5,14,""
13,20,28,37,35,38,32,27,34,21,23,12,19,24,30,23,21,20,10,12,4,11,15,18,19,""
14,13,19,25,38,26,26,27,23,23,13,22,24,11,16,14,9,12,19,7,-1,1,4,8,5,""
15,12,11,15,22,19,7,12,9,8,8,13,16,25,31,22,20,15,15,7,3,3,7,6,6,""
16,23,24,30,36,28,23,20,20,21,15,20,9,8,21,11,16,14,9,7,4,4,9,7,15,""
17,11,27,26,33,24,29,17,7,19,9,17,29,48,33,35,26,22,17,12,15,8,8,18,24,""
18,27,21,-1,-1,-1,-1,-1,5,15,11,20,22,28,26,20,21,16,26,14,10,10,14,8,22,""
19,26,24,36,46,46,37,30,38,19,13,26,18,32,19,28,18,5,21,12,13,10,5,23,34,""
20,37,35,37,46,39,30,27,21,27,23,24,25,29,29,20,24,21,8,7,8,5,11,0,0,""
21,0,0,0,0,0,0,0,0,0,0,1,0,18,37,24,19,17,10,10,11,7,8,9,16,""
22,18,22,20,39,36,24,18,22,11,16,22,25,13,18,11,12,5,8,3,4,5,5,7,10,""
23,9,18,12,15,15,24,12,14,12,6,10,11,13,9,8,13,18,8,8,7,5,9,11,25,""
24,19,26,9,8,11,10,14,16,11,11,15,12,19,15,16,11,9,5,8,11,5,5,4,10,""
25,12,5,8,18,14,11,13,28,17,11,16,19,22,28,11,19,8,8,11,7,9,18,4,10,""
26,17,24,21,27,0,0,0,2,18,6,15,16,13,18,16,13,12,10,5,7,8,9,10,9,""
27,7,15,15,17,15,17,8,16,9,10,10,18,1,11,11,8,8,8,8,8,3,4,5,10,""
28,15,22,19,13,13,20,14,7,5,2,11,17,11,9,3,5,6,7,11,4,3,3,7,13,""
29,20,11,26,27,34,25,34,25,27,35,32,8,15,16,8,14,7,9,-1,1,4,7,8,15,""
30,21,18,16,17,10,14,10,6,5,6,9,7,13,13,10,3,4,7,5,4,3,6,6,100,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]hgmpI}lel`z`fg'o0'jf',"b"
