jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,41,53,53,45,50,52,58,54,56,36,23,37,37,36,29,44,32,25,25,19,21,29,37,38,""
02,51,46,48,54,53,62,67,59,59,-1,30,29,50,27,33,21,24,22,15,31,25,36,33,58,""
03,41,47,34,64,60,57,55,50,54,53,39,27,33,49,44,45,28,25,22,20,21,20,33,35,""
04,54,35,57,65,59,66,69,96,80,73,38,49,41,49,48,31,33,27,11,16,27,29,41,42,""
05,52,46,44,62,55,91,75,52,65,35,28,32,45,58,62,34,32,27,22,16,21,27,49,60,""
06,52,48,51,62,69,86,76,72,67,56,46,45,53,51,47,39,25,21,20,14,23,26,27,34,""
07,49,48,48,74,74,69,69,104,80,46,45,49,76,74,68,57,23,16,17,27,25,34,41,36,""
08,51,43,39,58,86,79,95,104,91,57,36,37,62,50,58,45,25,25,10,29,23,37,43,60,""
09,43,44,57,73,93,104,87,93,72,43,39,36,55,58,64,52,30,12,18,15,23,32,34,33,""
10,57,46,69,71,76,103,105,122,72,56,46,48,52,59,51,46,29,31,24,22,26,36,37,48,""
11,65,58,59,69,92,79,98,96,98,59,41,55,69,70,50,59,54,36,15,20,19,29,37,45,""
12,41,62,60,65,80,88,91,78,57,56,38,38,43,37,52,27,37,18,16,17,16,36,42,30,""
13,47,57,53,60,87,75,92,82,69,52,44,48,67,78,54,47,26,24,21,16,33,26,40,47,""
14,52,45,43,70,84,87,106,86,80,53,39,44,56,67,38,47,32,34,28,22,26,29,37,36,""
15,55,50,55,70,92,78,91,-1,63,48,51,45,40,60,61,57,25,26,18,22,25,30,32,47,""
16,51,48,72,69,81,81,92,83,-1,42,45,49,53,50,53,38,36,15,15,22,23,34,36,46,""
17,52,60,55,72,75,84,78,74,49,45,33,-1,56,50,40,35,31,25,24,16,23,30,37,40,""
18,56,48,56,64,72,69,57,85,68,40,40,33,45,60,35,38,33,-1,17,-1,12,28,34,43,""
19,41,40,48,75,56,55,69,60,57,48,35,40,-1,43,36,37,29,25,29,22,12,27,40,39,""
20,49,57,56,48,50,56,50,39,31,32,29,31,33,43,42,-1,34,19,14,16,18,28,29,58,""
21,55,59,66,76,70,60,47,69,59,53,41,48,50,39,57,39,35,23,26,22,32,39,49,48,""
22,63,58,64,77,69,92,103,64,58,39,46,48,44,46,50,34,40,24,-1,-1,-1,32,34,37,""
23,48,50,66,72,69,68,80,79,53,34,29,29,45,43,50,41,32,27,25,22,37,41,40,46,""
24,50,61,67,60,66,68,74,63,-1,65,45,33,43,58,40,35,29,17,21,18,30,33,32,49,""
25,56,72,67,66,68,85,73,65,83,70,43,48,54,47,34,40,32,17,29,33,26,28,45,51,""
26,59,65,55,81,68,75,74,67,69,58,49,43,55,38,39,44,30,34,29,26,27,32,40,51,""
27,55,67,57,69,80,81,68,68,66,51,39,39,41,48,38,42,33,24,25,26,16,31,35,44,""
28,53,60,61,68,82,80,74,74,53,47,27,23,29,42,36,26,27,34,16,-1,-1,31,36,35,""
29,46,41,60,71,67,71,75,74,48,56,39,33,22,39,39,24,19,23,23,16,33,34,43,53,""
30,60,49,60,59,62,51,64,63,49,44,41,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
