aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
02,0,0,0,0,0,42,109,177,175,165,157,174,150,164,126,116,121,106,78,67,63,53,43,41,""
03,37,52,55,64,59,50,90,112,133,126,127,126,139,124,106,83,70,72,67,60,48,46,34,35,""
04,33,34,59,43,47,65,69,102,111,104,109,127,97,85,92,85,93,75,68,53,47,46,42,30,""
05,28,25,28,49,44,42,147,100,143,144,151,169,119,148,130,126,104,98,99,101,61,45,29,30,""
06,35,37,34,31,38,58,60,84,102,92,106,103,97,114,97,123,126,103,80,75,79,75,68,53,""
07,51,36,27,22,39,104,132,132,153,138,159,173,92,116,133,124,105,104,111,87,107,84,84,79,""
08,63,87,63,51,43,74,136,164,153,154,135,147,106,91,135,125,71,131,118,96,76,90,84,82,""
09,50,73,69,97,91,64,56,84,158,139,147,151,139,127,120,140,111,117,101,72,60,55,52,58,""
10,34,31,39,54,39,75,130,160,185,147,154,132,140,141,144,119,117,119,104,79,89,76,56,66,""
11,44,60,53,45,48,64,150,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,""
13,10,43,65,103,90,123,188,187,229,209,194,185,152,168,176,163,157,154,130,131,115,103,79,86,""
14,43,59,61,45,62,67,88,157,183,174,210,170,174,132,167,156,140,130,128,105,88,91,81,73,""
15,59,78,80,101,104,120,157,151,169,155,196,149,134,130,135,128,119,123,120,103,99,84,70,49,""
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,""
17,30,44,33,47,56,98,91,132,203,161,153,159,101,68,52,63,43,28,0,0,0,0,0,0,""
18,0,0,0,0,0,0,22,93,112,61,94,84,87,96,82,77,91,108,57,0,0,0,0,0,""
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,53,37,45,34,45,47,""
22,37,48,59,45,44,63,143,153,175,135,153,141,144,143,123,150,122,113,110,97,82,87,81,61,""
23,45,37,35,37,83,91,115,119,150,118,97,102,113,126,99,128,147,116,103,83,98,76,60,75,""
24,34,31,30,12,7,1,9,2,2,2,8,1,4,8,32,8,23,13,40,13,35,17,21,10,""
25,15,8,18,15,30,4,15,11,13,6,25,4,27,13,14,0,0,0,0,0,0,0,15,22,""
26,29,27,37,42,64,58,75,99,144,139,150,140,139,122,144,156,119,126,111,54,42,38,43,32,""
27,34,40,29,32,43,75,143,137,176,152,115,136,106,135,132,124,45,103,92,75,94,57,65,75,""
28,64,49,46,55,67,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,64,55,54,45,49,""
30,44,56,43,42,39,73,76,88,105,89,98,109,93,121,91,106,110,90,76,87,92,75,85,51,""
31,22,56,76,74,93,126,113,116,139,107,113,127,124,139,151,147,147,128,100,92,104,105,93,-1,""
[E]nVah{{`zI}le,"z'gl}"
