jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,4,2,0,2,1,4,3,6,5,6,8,3,""
02,8,9,10,6,9,10,9,5,4,3,6,5,7,2,2,2,0,0,3,5,7,7,8,10,""
03,12,20,17,16,13,21,12,4,6,2,8,10,8,6,4,29,18,13,17,20,26,27,29,22,""
04,27,30,29,31,21,20,7,0,4,1,4,3,3,2,2,2,0,3,1,3,2,2,3,5,""
05,8,4,10,15,10,10,10,4,2,4,5,5,3,3,5,2,3,0,4,2,6,6,4,8,""
06,8,10,9,5,8,6,3,4,1,7,6,3,2,7,1,2,3,1,3,5,5,6,6,6,""
07,5,9,12,7,9,4,5,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,1,4,9,8,2,""
08,8,10,7,7,8,11,4,1,5,3,0,2,4,2,4,1,1,1,0,4,4,2,4,6,""
09,6,10,12,9,4,7,4,3,1,4,0,1,3,4,3,0,4,1,2,2,5,3,9,6,""
10,8,6,4,9,11,6,7,4,4,9,2,3,4,4,1,0,3,1,2,2,4,5,1,3,""
11,10,6,13,10,6,5,4,2,8,9,4,4,-1,2,2,1,3,1,1,3,5,5,3,1,""
12,5,12,4,4,4,4,6,2,4,4,0,2,0,2,0,3,1,1,4,1,2,2,3,4,""
13,3,7,7,9,7,3,3,5,3,4,4,2,1,1,1,1,2,0,1,1,-1,-1,-1,-1,""
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
