jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,85,90,101,118,122,157,39,149,139,173,148,160,114,77,81,120,126,128,108,87,82,75,60,83,""
02,71,85,78,91,102,118,129,136,148,159,189,-1,-1,-1,254,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
04,-1,-1,-1,-1,-1,-1,85,243,245,256,240,261,304,308,277,223,219,98,71,77,50,56,73,68,""
05,44,59,76,91,112,111,149,152,148,147,119,151,140,180,148,136,121,116,87,78,56,64,68,68,""
06,49,76,76,76,118,107,121,119,105,116,151,142,141,151,171,242,219,177,156,152,138,135,122,135,""
07,116,126,137,133,178,196,213,214,231,229,232,239,246,241,204,219,197,194,102,120,57,79,61,68,""
08,62,66,69,72,103,120,118,134,147,136,154,176,152,140,124,137,126,-1,80,49,116,127,112,135,""
09,110,131,164,176,210,233,246,261,245,248,283,288,294,274,233,237,218,189,177,141,115,122,133,142,""
10,122,130,123,181,164,203,229,239,257,250,277,287,249,249,218,224,233,174,163,162,144,130,124,129,""
11,139,147,158,164,189,221,257,252,253,269,289,302,293,298,247,217,237,217,151,133,116,131,115,142,""
12,122,124,132,159,40,5,3,7,7,4,7,7,12,6,1,0,6,2,0,157,165,156,150,149,""
13,123,119,153,163,178,187,212,252,228,269,313,306,295,276,226,209,212,12,173,163,142,137,151,160,""
14,131,136,145,144,173,188,234,248,314,293,314,336,302,240,183,208,214,136,152,127,135,126,148,200,""
15,129,128,124,161,146,186,233,287,325,293,277,284,270,322,284,269,251,196,180,155,151,167,154,150,""
16,128,141,130,177,159,213,219,250,297,327,356,353,339,268,270,242,276,220,177,149,143,132,164,175,""
17,158,158,155,175,168,213,196,245,273,277,307,334,277,304,291,262,251,204,157,161,126,152,150,167,""
18,138,141,122,132,164,154,211,233,269,338,344,350,355,330,262,253,226,197,164,147,109,126,134,127,""
19,114,106,120,138,108,72,197,213,283,271,288,309,304,295,249,216,197,205,140,170,138,147,-1,230,""
20,61,92,118,154,153,182,215,242,246,258,277,262,249,227,180,190,213,172,159,131,150,97,79,109,""
21,87,119,128,156,143,156,203,217,285,262,276,188,254,235,210,205,191,191,150,158,120,113,97,98,""
22,103,113,128,164,164,205,227,212,262,222,195,268,236,225,206,234,187,155,138,115,129,83,90,110,""
23,97,119,130,161,170,194,230,254,217,242,248,239,200,184,187,191,190,168,149,118,120,107,109,59,""
24,61,70,67,102,95,109,104,109,139,134,143,143,126,127,128,129,120,99,90,68,60,63,49,53,""
25,55,70,85,92,109,104,128,132,159,150,144,149,161,136,121,135,106,106,87,81,69,66,67,70,""
26,52,62,65,74,97,110,132,143,160,145,151,136,134,132,121,115,113,85,81,82,78,80,62,62,""
27,58,47,70,92,108,104,143,132,148,145,148,127,120,114,102,155,181,146,131,126,144,112,104,101,""
28,96,88,117,132,176,174,235,235,239,258,242,268,214,213,164,186,177,133,146,123,107,105,104,122,""
29,91,109,118,149,179,204,201,203,213,209,222,228,233,201,191,177,176,147,142,121,132,117,93,104,""
30,107,101,95,119,143,172,201,205,217,186,212,222,187,158,133,187,135,154,139,122,121,102,103,105,""
31,88,118,92,122,156,156,199,205,243,200,206,241,201,167,174,172,159,144,115,108,109,104,105,-1,""
