mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,19,14,14,11,7,1,3,3,2,4,4,5,7,7,8,3,7,19,15,16,15,15,27,20,""
02,24,13,15,16,12,9,4,3,2,3,3,7,12,13,10,5,6,14,17,15,8,11,17,15,""
03,19,18,15,12,11,11,8,1,6,2,2,6,8,9,5,10,4,11,15,13,18,17,27,18,""
04,14,18,6,12,16,6,10,4,6,10,6,3,5,9,10,10,6,16,15,19,12,19,15,24,""
05,19,14,15,6,12,10,10,6,5,4,5,-1,7,19,10,11,14,18,20,21,21,19,29,21,""
06,29,18,9,16,7,6,6,3,13,5,6,2,5,7,13,16,17,20,28,22,19,21,11,21,""
07,21,16,15,16,12,5,9,7,3,6,5,13,6,7,10,12,12,24,21,12,18,24,37,22,""
08,24,17,21,22,12,12,6,7,2,4,5,8,10,10,18,16,10,10,19,15,14,30,18,23,""
09,22,31,14,23,18,4,5,8,3,4,4,11,14,10,18,21,20,27,20,21,18,22,30,29,""
10,28,14,18,7,13,10,7,2,2,7,2,5,11,11,10,18,18,17,18,21,23,26,18,15,""
11,18,22,18,14,11,11,9,6,6,1,6,10,10,8,10,9,18,17,13,14,19,23,19,28,""
12,20,19,26,14,16,13,9,2,1,3,7,2,4,9,13,17,18,20,18,12,19,19,25,14,""
13,24,22,15,16,16,13,7,5,3,2,8,9,7,16,11,10,16,12,20,14,9,30,21,18,""
14,14,25,24,16,18,7,7,3,0,3,8,8,11,14,18,12,14,15,17,18,21,22,17,33,""
15,21,19,18,17,18,12,4,1,7,5,1,12,11,10,10,14,15,7,18,12,21,23,14,20,""
16,17,21,21,27,13,11,3,3,2,3,3,4,8,10,13,11,19,17,14,26,19,32,19,18,""
17,15,21,19,16,10,10,7,0,8,4,4,8,9,12,10,13,20,18,13,20,19,19,30,17,""
18,18,20,23,17,17,6,5,4,4,5,4,7,8,20,18,16,12,9,21,23,12,24,20,19,""
19,21,14,21,11,9,8,7,7,3,4,6,8,12,10,9,14,16,7,15,15,24,24,21,28,""
20,16,21,20,22,17,13,10,4,1,2,5,11,3,10,13,14,15,17,14,14,21,16,20,19,""
21,20,19,16,12,19,15,4,5,6,2,5,7,10,8,9,7,15,19,15,16,17,24,24,25,""
22,24,21,17,15,15,8,2,5,3,1,9,10,7,9,13,21,14,22,17,21,22,23,21,17,""
23,23,20,14,14,16,8,10,4,4,1,5,8,6,9,14,12,19,21,12,14,21,29,20,22,""
24,22,18,14,15,15,10,5,8,3,5,7,8,12,15,18,21,11,8,11,16,25,16,29,18,""
25,28,20,22,14,8,7,8,11,5,6,14,6,10,6,21,19,26,16,21,14,18,17,-1,27,""
26,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,11,18,12,16,19,19,20,26,24,23,41,32,""
27,19,33,24,20,18,8,4,6,5,3,5,6,8,13,12,23,16,26,17,19,28,16,28,24,""
28,27,26,13,12,11,14,12,7,5,1,9,8,9,9,14,16,29,20,16,22,19,34,34,28,""
29,23,25,20,26,20,11,13,7,5,5,5,8,9,15,11,22,18,13,24,19,17,14,32,24,""
30,17,13,18,12,22,16,8,4,7,3,2,6,6,13,11,22,24,22,17,20,18,16,20,18,""
31,8,15,12,9,10,13,5,9,4,1,10,7,8,9,2,15,16,20,15,10,21,13,13,25,""
[E]z,"n`df}f'a{fIndh`e'jfd"
