apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,48,57,58,56,46,35,22,22,14,22,18,25,17,12,10,9,4,6,11,21,23,32,43,43,""
02,55,59,62,56,43,36,11,24,19,22,16,18,12,11,10,9,9,10,13,22,16,34,29,53,""
03,44,54,64,54,54,35,19,18,17,18,15,21,8,13,9,11,9,11,13,18,24,28,32,45,""
04,59,58,63,57,51,43,36,20,20,29,36,21,17,17,15,11,9,12,13,21,30,37,41,50,""
05,50,59,58,59,49,46,0,16,21,17,27,21,18,12,12,10,4,6,9,23,14,31,41,47,""
06,47,59,61,55,34,29,30,15,24,24,11,18,20,18,11,8,4,3,17,20,21,29,41,44,""
07,49,44,62,50,54,42,17,25,21,21,21,13,17,11,13,10,7,3,12,20,15,27,40,41,""
08,40,48,58,46,43,30,19,16,21,16,16,23,25,16,11,5,4,7,10,17,20,40,35,38,""
09,49,43,59,43,44,38,29,18,22,14,16,16,14,14,10,14,6,6,12,20,20,29,40,51,""
10,46,41,41,44,50,39,31,25,17,24,23,18,13,12,13,8,5,5,15,18,23,31,46,68,""
11,42,63,52,53,45,34,16,17,17,16,16,15,13,18,13,8,7,5,9,15,27,26,39,52,""
12,54,42,67,47,52,27,13,19,13,11,20,9,23,11,15,9,8,5,14,17,26,31,35,34,""
13,34,47,41,55,50,38,12,26,23,24,10,12,12,13,6,9,9,3,20,10,22,31,35,50,""
14,44,56,62,45,44,31,20,22,22,27,16,16,19,17,10,8,9,5,2,12,22,19,22,46,""
15,51,67,51,55,56,38,19,30,29,19,16,18,18,16,10,7,8,3,11,22,21,41,29,36,""
16,53,59,51,63,50,27,13,29,31,22,18,15,20,13,15,3,10,3,11,17,26,40,43,57,""
17,54,17,48,51,57,32,23,25,29,14,27,27,25,20,9,17,10,12,12,24,27,31,40,55,""
18,57,56,54,58,62,32,21,21,24,23,16,16,16,14,13,11,2,7,13,15,29,25,38,47,""
19,47,47,61,61,62,33,14,26,30,18,16,12,19,20,11,9,10,11,17,27,14,32,42,48,""
20,55,67,47,67,59,41,26,22,15,17,16,19,21,10,11,5,5,3,8,8,21,33,45,36,""
21,72,58,57,66,51,32,31,23,27,15,12,16,18,18,14,9,9,6,18,17,25,31,35,52,""
22,63,62,55,46,50,34,24,29,26,28,16,22,18,20,15,6,9,17,13,13,20,35,31,58,""
23,65,66,61,63,47,15,23,32,20,21,11,23,13,13,17,8,4,6,16,24,34,27,28,69,""
24,58,54,53,53,64,35,26,25,31,20,14,14,18,16,11,6,11,5,10,20,26,39,38,46,""
25,40,57,49,60,56,30,20,28,23,21,18,27,14,20,8,22,13,13,23,18,18,28,31,43,""
26,43,53,53,45,47,18,21,15,27,12,14,13,25,21,22,13,7,6,5,22,31,37,28,42,""
27,62,54,64,68,60,39,29,26,29,17,24,23,19,16,16,12,10,4,7,15,29,31,32,49,""
28,58,43,48,57,71,39,28,23,22,24,19,24,16,32,16,14,4,7,7,14,31,39,39,44,""
29,45,53,51,54,54,44,21,25,27,20,22,16,19,20,18,7,4,6,12,23,28,30,34,43,""
30,43,56,53,71,60,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]o{'m,"kf`zIhz}{fehk'kl"
