aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,56,49,48,52,53,34,15,21,19,6,7,9,8,3,1,8,8,7,5,13,17,24,47,60,""
02,67,56,58,75,55,19,17,15,9,13,14,5,7,6,13,13,11,11,20,17,34,39,47,51,""
03,65,71,75,73,50,38,18,19,16,17,11,7,4,7,14,10,9,6,7,14,12,32,47,30,""
04,46,58,47,41,55,21,15,20,14,13,9,10,10,7,10,10,3,5,13,16,21,22,16,38,""
05,40,46,45,54,43,23,24,8,11,10,12,10,11,8,11,6,8,3,17,28,27,32,49,43,""
06,61,60,59,61,45,40,31,25,16,12,12,16,8,20,8,9,15,6,13,-1,-1,-1,-1,-1,""
07,-1,-1,-1,-1,-1,-1,-1,23,20,13,11,13,11,11,13,10,8,10,10,27,36,39,60,81,""
08,71,79,115,89,73,36,29,20,30,21,22,22,21,15,24,13,9,13,11,32,40,44,64,86,""
09,68,83,90,97,82,40,37,25,21,15,16,18,12,13,11,12,5,8,11,20,30,30,43,62,""
10,69,55,73,55,55,27,25,21,26,18,16,16,15,13,23,11,8,7,7,20,32,48,50,63,""
11,67,77,38,58,68,27,15,35,17,24,19,16,-1,-1,-1,-1,-1,-1,5,26,18,39,28,39,""
12,34,42,23,15,37,16,27,51,33,31,30,22,22,-1,-1,-1,21,19,23,37,49,67,63,72,""
13,95,101,121,102,84,58,18,32,33,33,26,20,22,19,19,-1,-1,-1,19,34,41,50,59,75,""
14,71,-1,-1,-1,-1,-1,-1,24,28,17,20,20,15,16,14,6,7,13,15,30,35,44,42,51,""
15,64,62,80,72,54,23,12,19,24,11,17,17,10,9,9,11,9,12,6,20,-1,-1,-1,-1,""
16,-1,-1,-1,-1,-1,-1,-1,21,17,22,17,9,15,9,9,8,7,14,7,15,16,27,23,23,""
17,43,37,34,37,41,42,13,12,13,7,14,15,12,21,8,11,13,16,10,13,27,38,28,35,""
18,50,71,59,62,69,40,5,16,14,15,15,9,15,9,8,12,16,15,25,34,33,34,34,55,""
19,51,37,58,67,42,9,11,16,14,17,12,10,10,8,17,14,10,7,15,17,20,28,39,30,""
20,42,53,57,89,75,47,20,16,19,12,8,9,11,18,13,5,7,-1,-1,-1,19,26,32,39,""
21,43,52,49,48,38,35,18,24,15,11,16,14,13,10,10,9,10,12,8,14,-1,-1,-1,34,""
22,-1,-1,-1,-1,-1,-1,20,19,16,21,4,13,13,6,11,7,7,8,17,15,-1,-1,-1,-1,""
23,42,57,57,55,55,22,18,15,10,12,10,6,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
24,-1,-1,-1,-1,-1,-1,-1,25,13,8,11,10,10,10,10,10,7,9,15,19,-1,28,39,40,""
25,-1,-1,-1,-1,-1,-1,-1,17,12,10,12,7,9,15,10,16,13,13,19,16,25,47,55,66,""
26,69,74,65,80,69,41,28,29,18,16,11,6,17,10,11,14,8,10,23,26,40,26,55,59,""
27,66,77,62,67,61,41,20,22,19,18,14,18,16,12,16,11,14,8,14,21,32,40,35,50,""
28,48,49,51,63,57,25,18,26,15,16,17,13,18,20,13,8,7,5,20,28,41,46,47,55,""
29,37,60,54,51,46,36,15,19,25,16,16,9,10,7,3,7,7,11,15,27,19,27,31,35,""
30,47,53,41,42,47,38,28,10,18,11,14,14,8,9,10,8,12,8,14,16,14,24,24,37,""
31,23,41,44,41,44,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]o{'m,"kf`zIhz}{fehk'kl"
