sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,3,24,14,6,7,4,13,7,8,3,-1,-1,8,4,4,9,4,2,6,6,4,7,7,12,""
02,8,7,14,10,11,19,12,13,7,14,19,12,5,17,7,8,5,7,12,8,8,10,9,13,""
03,9,8,10,14,6,6,11,7,15,13,11,10,10,10,11,12,7,4,11,10,7,18,8,5,""
04,9,9,13,15,11,9,13,20,13,9,9,12,14,15,9,7,8,11,8,8,10,11,8,6,""
05,15,12,8,7,10,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,11,8,9,18,14,11,""
06,13,11,15,7,12,8,15,11,14,8,12,10,14,11,8,11,12,9,8,5,14,14,9,8,""
07,9,5,9,12,8,9,7,9,11,9,8,9,16,7,3,2,8,4,4,9,3,7,9,8,""
08,7,10,9,10,6,6,13,10,8,10,12,4,10,11,5,6,7,8,6,5,6,6,17,13,""
09,6,10,14,5,8,5,5,8,10,10,10,6,6,7,4,3,7,5,4,3,9,3,9,18,""
10,7,3,6,7,2,6,3,-1,5,12,10,9,13,4,7,9,8,12,6,6,7,8,6,6,""
11,6,8,26,13,11,12,12,15,10,26,11,16,5,7,8,10,13,7,11,5,11,6,6,10,""
12,7,16,7,9,6,8,6,13,5,11,8,9,7,13,9,7,7,11,6,2,12,10,11,10,""
13,11,10,9,7,13,12,9,16,17,14,15,15,8,6,12,7,10,6,12,5,8,10,14,9,""
14,9,16,16,7,5,10,14,16,16,19,5,6,6,5,15,12,7,6,3,10,10,7,-1,0,""
15,5,13,12,12,16,5,13,14,7,11,15,9,12,14,10,8,10,13,8,10,3,13,7,11,""
16,12,13,8,15,8,20,14,9,18,13,12,14,7,10,2,6,4,4,10,3,7,4,10,9,""
17,17,4,8,8,7,9,8,17,11,12,13,7,6,9,7,9,11,10,3,5,6,4,15,13,""
18,9,8,9,10,8,10,9,11,18,15,16,9,2,16,3,8,7,5,4,10,6,12,11,8,""
19,11,15,8,8,6,14,10,13,14,17,13,7,10,1,-1,2,8,12,4,15,13,6,10,11,""
20,12,13,15,13,10,12,10,7,15,17,15,11,13,12,11,10,8,6,3,8,5,6,14,9,""
21,9,7,11,11,9,12,14,13,15,8,6,7,10,10,10,6,8,11,7,4,4,7,6,6,""
22,10,7,7,7,10,8,21,7,6,12,7,11,8,5,10,12,8,9,5,6,8,10,6,7,""
23,6,15,9,12,7,11,9,13,23,24,12,16,9,10,11,9,8,13,11,8,12,8,6,11,""
24,14,9,10,11,5,-1,-1,16,18,5,-1,-1,-1,18,17,16,10,10,11,12,20,7,17,17,""
25,18,19,13,13,17,14,22,20,19,14,17,9,8,12,20,13,14,13,11,17,7,6,11,16,""
26,10,7,12,11,8,20,18,13,13,21,11,7,11,9,13,11,12,13,9,6,5,9,11,12,""
27,8,14,12,10,11,20,18,16,19,17,11,16,13,9,14,10,10,2,17,10,11,12,12,9,""
28,14,10,12,12,16,16,17,14,20,20,11,15,16,6,9,5,8,10,8,12,4,-1,7,14,""
29,14,13,6,10,21,20,21,22,17,23,16,12,10,18,14,17,17,10,11,11,14,13,19,12,""
30,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
