nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,77,81,99,88,76,59,70,120,152,185,169,122,119,113,123,134,141,111,124,131,90,98,61,79,""
02,72,107,102,88,97,77,83,108,141,174,140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,""
03,48,51,49,48,42,49,61,66,104,126,93,92,76,93,98,50,22,25,33,18,28,33,39,50,""
04,55,59,63,56,57,57,78,82,108,129,115,95,106,106,96,105,111,83,87,81,78,65,51,59,""
05,59,60,61,64,43,52,60,72,107,140,121,134,101,88,123,122,96,81,105,79,71,83,73,46,""
06,74,62,70,58,54,61,69,100,112,138,136,115,90,114,118,148,102,86,96,101,91,97,72,72,""
07,82,85,92,77,71,84,94,129,160,188,177,168,124,137,146,140,123,93,77,113,97,88,77,59,""
08,73,73,92,78,64,81,95,100,169,142,145,146,123,132,107,109,100,90,99,77,61,41,40,44,""
09,47,42,39,31,24,34,28,47,52,66,62,64,62,53,50,50,62,66,57,53,46,50,57,51,""
10,45,34,41,38,37,37,47,53,100,123,104,82,72,53,74,74,50,61,68,80,66,91,56,73,""
11,54,48,41,52,54,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,38,28,""
12,19,23,59,64,85,89,60,74,65,71,-1,53,36,97,117,119,113,106,119,118,94,76,82,76,""
13,72,78,78,76,77,66,88,87,-1,-1,-1,-1,92,120,110,68,67,74,63,67,59,46,58,55,""
14,54,63,66,75,75,83,66,72,90,142,125,153,105,136,95,70,54,60,46,61,42,63,68,56,""
15,62,61,48,40,66,53,66,86,98,107,118,90,93,93,64,82,77,68,45,55,41,55,44,50,""
16,59,46,56,43,53,59,59,75,99,113,119,111,99,106,121,107,64,56,36,48,63,71,57,42,""
17,35,42,30,47,56,37,58,83,126,124,123,132,100,85,106,119,94,43,25,6,5,6,3,2,""
18,5,3,3,17,40,78,107,115,127,117,117,139,143,114,120,108,99,93,77,74,45,40,39,43,""
19,44,26,26,22,23,33,66,65,-1,80,92,70,54,42,39,38,55,42,49,59,37,17,18,14,""
20,17,11,8,34,21,29,36,51,78,72,96,63,86,81,88,89,89,88,86,82,69,72,61,47,""
21,59,55,52,44,37,56,55,76,104,80,98,87,61,58,38,59,97,95,91,72,57,37,45,31,""
22,33,35,33,33,40,40,47,53,70,83,86,42,64,75,85,79,88,79,70,56,66,74,41,43,""
23,49,39,49,52,71,68,89,115,136,161,153,140,110,128,132,121,105,111,114,80,80,75,67,54,""
24,60,50,41,50,56,48,74,93,128,143,125,122,110,102,113,113,109,95,92,89,80,74,51,75,""
25,81,75,70,65,65,80,66,94,121,124,132,116,102,97,95,104,80,67,95,60,58,42,49,60,""
26,44,62,52,52,51,66,67,89,108,126,132,120,120,105,102,108,127,95,115,79,79,48,55,54,""
27,65,45,39,47,55,70,90,102,74,113,89,95,82,114,111,118,104,68,71,76,76,51,42,49,""
28,47,44,40,43,48,57,57,85,97,133,111,117,96,106,91,76,79,94,70,58,52,52,59,49,""
29,31,46,43,35,27,25,34,29,35,37,27,54,83,62,85,78,75,73,51,43,54,53,38,39,""
30,48,41,39,38,33,31,49,65,99,100,131,81,96,90,109,103,106,94,117,111,85,61,59,65,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
