dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,20,20,8,25
3,37,36,55,52,65,53,48,0,0,0,40,0,30,42,34,26,31,15,14,25,20,23,36,34
4,35,36,41,46,54,53,56,53,35,39,44,42,24,35,24,17,23,20,31,18,12,17,20,27
5,25,25,24,26,34,41,32,38,18,16,19,29,31,30,12,17,9,12,10,4,12,8,10,7
6,29,43,34,39,45,58,44,46,33,19,9,21,26,20,17,4,8,8,18,10,8,12,8,18
7,29,35,42,58,59,53,54,35,45,15,13,22,22,31,21,18,17,10,10,12,12,13,21,27
8,31,25,27,43,48,65,46,42,24,21,18,28,25,32,25,35,18,11,16,15,14,11,9,12
9,32,38,31,40,45,46,43,35,21,24,23,13,24,33,17,20,12,14,28,10,12,8,14,19
10,36,23,44,48,61,69,71,60,30,29,21,15,21,11,21,23,16,29,23,33,28,21,22,22
11,21,33,18,24,51,69,86,63,29,13,12,10,4,11,18,11,7,12,19,18,25,26,26,27
12,18,27,47,66,92,141,99,66,37,33,23,24,17,19,19,7,24,34,28,44,41,29,24,28
13,30,53,89,141,141,137,135,127,75,28,22,32,40,25,34,14,20,32,31,50,41,34,17,25
14,46,0,47,0,64,83,62,37,27,23,13,15,34,23,26,20,11,32,11,14,10,9,10,12
15,25,14,29,33,33,36,46,33,34,17,13,12,28,27,26,15,17,17,3,10,7,11,10,29
16,44,46,43,42,56,61,47,30,22,0,32,19,50,41,41,31,24,16,5,3,9,7,8,9
17,20,26,28,27,27,39,36,18,10,6,14,12,25,14,24,16,13,10,10,8,7,6,9,9
18,9,19,30,29,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,20,14,17,21,5,11,20,24,13,21,16,10,16
20,21,19,31,32,46,37,32,33,39,20,23,19,31,34,32,20,19,22,26,20,10,13,10,8
21,15,16,23,30,31,31,17,21,20,23,19,23,21,24,22,12,14,9,14,12,14,21,16,26
22,18,8,20,15,27,25,23,33,30,11,15,7,10,22,25,25,23,12,12,17,18,17,18,11
23,13,12,12,11,20,26,17,28,13,15,26,15,13,12,26,14,15,16,19,14,19,14,16,24
24,22,25,22,25,31,30,30,21,23,29,20,23,18,14,24,21,9,17,15,12,18,17,9,10
25,12,21,22,25,20,35,31,23,18,27,22,22,25,19,19,12,14,7,9,11,13,10,12,11
26,10,13,12,17,10,14,19,9,18,15,12,11,10,9,4,3,3,5,2,2,14,10,12,8
27,16,11,8,12,14,37,25,24,24,20,8,4,11,1,0,3,1,1,0,0,3,8,14,8
28,3,2,4,4,9,18,17,10,6,5,4,0,4,2,0,1,0,1,2,8,9,5,0,3
29,2,1,1,0,2,2,9,3,8,19,9,10,11,8,6,8,5,0,0,0,5,3,2,5
30,3,12,4,10,10,25,20,24,9,11,8,12,10,9,7,5,4,3,5,5,6,5,3,0
