apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,7,22,11,3,10,22,17,23,24,19,8,9,7,12,8,13,8,3,12,10,15,12,16,9,""
02,19,16,20,27,32,53,34,60,11,-1,-1,14,7,6,7,4,-1,2,15,9,16,9,9,3,""
03,6,11,4,11,21,12,29,20,45,27,52,44,20,14,35,21,23,13,28,18,24,13,21,13,""
04,15,10,2,15,16,38,53,41,21,54,9,7,29,14,13,11,12,10,17,14,16,24,10,16,""
05,8,13,8,9,13,20,30,43,17,29,15,16,11,19,13,28,29,12,9,21,33,25,8,5,""
06,13,7,6,41,27,22,62,50,36,38,36,12,16,19,16,12,18,15,11,9,18,15,18,3,""
07,6,8,14,16,32,63,49,51,32,31,19,20,22,17,24,19,16,34,11,11,13,21,10,11,""
08,9,5,9,14,19,31,15,30,10,11,19,11,14,18,7,10,11,2,2,4,15,23,16,29,""
09,11,10,8,20,43,40,52,57,27,28,40,26,20,17,8,8,5,7,6,11,11,13,16,8,""
10,10,23,11,12,22,37,29,22,25,13,3,11,9,2,6,6,4,9,6,14,16,13,10,8,""
11,15,2,11,11,19,16,22,28,11,6,9,4,2,5,13,5,4,4,8,14,14,18,11,9,""
12,7,6,6,4,25,30,25,29,21,9,11,14,9,18,4,7,5,7,10,10,14,19,16,12,""
13,6,11,22,29,27,32,28,36,20,10,6,10,14,14,12,13,14,8,13,12,12,9,5,11,""
14,5,3,7,11,21,24,15,28,30,22,13,15,18,20,19,6,8,11,20,11,11,9,17,12,""
15,7,6,8,10,33,27,43,26,12,11,8,13,13,11,18,21,5,10,10,6,17,8,12,7,""
16,9,11,5,11,19,18,18,23,30,6,15,4,8,4,6,12,5,11,14,3,-1,0,5,4,""
17,3,2,3,6,23,13,37,27,49,27,18,23,10,5,16,14,21,7,3,7,15,3,7,3,""
18,6,8,2,6,18,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
