jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,001,010,023,028,026,025,021
05,021,030,039,046,049,062,062,039,025,040,041,034,041,049,040,038,036,016,024,021,045,050,035,041
06,049,059,059,060,072,071,075,048,069,065,049,042,022,-1,-1,-1,-1,-1,018,036,042,073,063,059
07,068,038,057,072,079,052,064,069,052,046,038,036,026,031,034,030,029,026,030,030,037,028,037,032
08,033,045,043,048,041,046,059,049,054,048,041,038,040,053,053,060,043,025,013,018,026,026,040,035
09,043,038,050,056,060,057,055,045,045,045,064,042,049,061,070,059,036,031,028,023,018,023,023,021
10,030,019,036,043,050,041,040,046,040,038,040,041,053,061,058,055,035,028,030,025,024,027,042,042
11,034,038,046,067,056,042,054,044,043,027,043,032,054,058,058,045,028,018,031,025,035,042,037,022
12,021,053,054,057,055,073,049,042,058,046,030,027,043,052,006,-1,009,017,030,072,046,044,059,049
13,041,034,019,-1,-1,032,052,045,050,037,032,013,032,041,058,038,034,039,036,034,038,030,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,033,064,036,042,042,030,027,039,043,041,027,033,027,037,039,042,035,053
15,038,047,055,047,048,044,046,056,047,032,034,029,050,063,056,057,037,033,050,040,034,045,049,045
16,038,032,047,049,047,043,052,049,042,019,032,036,044,053,055,051,046,044,039,028,041,044,043,040
17,053,044,045,052,059,036,003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,002,025,036,034,043,041
18,042,038,033,037,041,038,045,052,052,057,048,030,040,038,042,034,052,047,044,048,045,052,049,042
19,038,042,036,029,049,055,049,052,031,037,040,035,035,030,027,034,029,034,037,023,031,041,028,023
20,024,044,041,051,047,039,044,029,022,021,028,039,036,028,048,034,048,039,034,026,024,030,037,043
21,042,046,036,037,037,044,035,026,048,054,051,054,051,051,046,038,036,044,043,040,046,037,037,051
22,039,039,044,049,055,047,048,060,043,038,046,048,033,050,045,042,033,030,027,024,026,023,027,039
23,043,040,049,041,050,036,046,058,035,038,033,037,030,044,040,051,036,026,029,036,041,030,045,034
24,038,034,031,046,053,046,044,040,037,032,046,045,050,044,046,044,047,038,043,044,026,038,052,032
25,039,049,048,036,052,042,042,043,040,030,035,030,042,071,076,046,041,049,038,034,053,050,045,041
26,038,054,041,051,055,053,040,038,033,035,030,062,057,043,049,053,042,041,051,053,049,044,053,041
27,039,053,056,057,041,076,071,054,039,023,033,036,036,034,028,043,034,029,012,017,023,023,031,038
28,037,038,038,034,042,047,041,043,036,040,032,031,031,042,031,036,032,021,022,029,026,035,037,033
29,032,030,026,030,041,040,031,032,034,014,030,042,038,035,029,040,032,030,033,025,035,021,040,033
30,038,036,032,036,036,043,044,036,024,027,034,029,035,033,035,034,033,021,034,030,027,024,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
