jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,41,37,24,24,24,25,46,41,48,""
02,51,69,67,60,60,60,60,62,56,31,27,23,26,34,28,37,21,14,19,21,32,30,39,57,""
03,46,52,67,64,58,67,63,72,68,61,50,42,46,37,36,28,29,29,25,48,11,28,15,33,""
04,46,49,54,58,55,54,68,53,50,51,37,50,27,28,60,34,36,11,14,57,32,22,37,42,""
05,50,53,48,48,55,70,49,72,69,58,41,40,61,35,39,30,33,28,25,26,29,42,38,49,""
06,51,57,58,59,58,66,58,39,31,28,57,36,30,28,26,19,27,21,11,11,21,39,16,44,""
07,62,52,57,80,76,84,52,21,19,75,40,43,26,34,39,38,23,23,19,25,18,32,50,42,""
08,46,50,51,53,58,61,73,60,24,16,21,13,13,16,13,13,7,4,10,11,16,61,20,31,""
09,42,39,31,38,56,42,47,41,46,20,20,15,23,21,21,19,17,17,10,9,13,17,49,105,""
10,109,126,103,123,117,138,87,37,56,127,118,89,116,146,131,108,52,37,28,34,55,18,51,67,""
11,52,73,48,62,87,86,86,80,63,52,50,34,40,46,56,43,36,24,8,33,25,36,63,79,""
12,77,63,75,65,66,73,78,53,26,27,7,10,20,24,27,11,16,42,11,9,9,37,40,50,""
13,62,45,64,64,78,71,52,47,58,43,36,28,10,12,15,13,14,12,9,109,47,44,54,67,""
14,72,68,67,60,78,92,82,40,22,12,18,6,12,14,11,15,8,6,11,9,20,24,43,47,""
15,55,48,50,59,64,64,78,75,62,63,59,42,40,43,40,45,25,14,21,23,25,38,45,61,""
16,55,69,71,83,73,65,75,53,58,51,47,57,28,29,34,40,69,33,25,26,18,44,36,55,""
17,50,59,50,46,61,41,55,81,58,43,29,26,31,36,33,46,29,29,27,26,27,27,39,55,""
18,59,46,52,61,66,75,88,57,58,17,41,63,33,45,41,33,28,42,23,13,21,23,48,65,""
19,63,68,86,83,80,61,70,62,63,72,58,54,55,46,47,36,28,35,17,22,25,31,51,63,""
20,58,51,66,66,77,83,57,70,58,59,43,38,31,42,39,37,19,23,16,22,30,40,42,47,""
21,58,68,70,65,71,61,60,44,54,55,46,62,43,42,29,28,31,37,24,35,26,34,43,53,""
22,62,50,67,61,58,52,67,60,60,43,25,37,21,30,44,26,33,36,32,50,31,37,35,53,""
23,81,73,74,83,67,68,68,42,33,36,22,28,32,38,28,29,36,30,34,33,36,39,67,75,""
24,81,96,112,113,98,86,62,71,65,53,54,42,47,35,47,45,29,21,24,29,40,38,44,85,""
25,68,90,116,94,97,74,60,81,59,40,58,40,46,55,48,42,45,18,21,78,22,37,68,77,""
26,108,101,129,108,84,77,76,75,50,59,25,36,27,26,41,38,30,28,32,24,25,37,61,79,""
27,110,111,122,98,89,76,58,75,56,45,52,41,44,37,38,33,32,34,23,16,34,52,85,92,""
28,132,129,141,137,133,122,83,58,68,58,40,31,14,21,25,24,13,12,22,18,17,31,62,64,""
29,91,109,104,85,86,81,60,45,38,29,32,33,23,9,16,9,10,7,6,12,12,33,38,68,""
30,82,98,107,110,98,57,42,28,26,20,8,23,12,4,17,26,31,7,7,14,31,40,63,99,""
31,109,150,122,128,114,100,89,64,34,25,18,10,16,9,14,15,8,13,11,26,15,29,30,125,""
