sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,""
02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,-1,-1,3,37,37,""
03,32,25,28,25,28,13,19,25,17,-1,0,0,0,0,0,0,6,4,8,3,17,25,39,25,""
04,37,33,24,20,26,22,16,19,15,16,9,6,3,6,9,7,13,6,10,13,16,21,31,39,""
05,27,26,40,38,19,25,20,29,15,15,13,11,12,9,14,11,8,9,7,14,15,23,24,30,""
06,32,23,23,27,29,23,16,18,14,9,7,9,5,9,10,12,7,9,9,12,22,21,29,24,""
07,35,19,23,24,29,19,10,21,17,15,9,7,11,20,6,5,9,10,6,13,17,18,29,27,""
08,18,30,28,30,12,26,26,16,17,26,8,12,10,10,5,8,7,11,10,10,9,26,31,19,""
09,17,28,22,20,23,18,13,19,15,6,4,8,7,3,6,7,3,5,6,8,23,15,27,27,""
10,19,33,24,23,20,19,13,16,11,4,14,8,2,7,5,7,9,4,9,19,13,22,28,27,""
11,21,16,28,27,36,8,21,21,34,10,14,5,5,3,4,7,10,8,12,12,12,14,32,22,""
12,13,26,17,32,29,25,20,23,18,11,13,11,7,3,12,11,8,14,15,14,22,26,16,27,""
13,40,28,28,29,22,27,15,25,23,12,14,10,12,11,10,23,13,10,7,13,16,15,0,21,""
14,24,22,24,24,25,22,18,13,12,12,7,4,6,8,8,7,3,14,11,11,16,15,23,19,""
15,15,27,33,21,23,17,20,19,21,9,16,7,6,7,10,12,11,12,6,7,20,18,28,25,""
16,16,28,14,36,30,25,21,24,9,7,8,9,6,4,6,3,3,8,14,16,17,29,23,18,""
17,11,13,24,27,28,18,27,20,13,6,7,8,10,9,5,12,4,8,6,11,15,16,22,13,""
18,22,25,15,16,14,16,13,18,13,19,11,9,11,5,6,13,7,7,6,13,13,11,18,33,""
19,29,33,15,25,29,18,19,19,25,19,20,5,9,10,10,18,12,15,11,9,13,18,25,21,""
20,26,15,15,22,15,17,13,21,15,12,13,8,11,9,5,8,6,5,7,14,22,23,1,27,""
21,40,23,32,32,32,23,29,21,16,4,0,2,7,9,7,2,6,4,4,9,14,17,22,20,""
22,19,17,31,26,15,20,17,30,15,14,14,17,8,11,10,3,4,4,3,10,16,13,17,17,""
23,16,15,18,16,28,12,14,17,17,13,9,12,10,11,3,4,7,8,4,12,16,12,22,14,""
24,15,17,10,23,16,21,20,20,10,23,6,10,7,2,9,2,3,2,4,5,8,15,16,13,""
25,8,19,21,29,25,26,22,19,15,19,9,10,-1,-1,-1,-1,2,3,5,7,19,7,13,15,""
26,10,4,16,10,10,13,20,18,8,5,5,12,14,11,10,4,0,2,10,3,11,13,11,12,""
27,8,8,18,11,6,17,17,18,22,8,8,9,1,3,4,6,5,2,9,13,12,10,21,16,""
28,5,19,19,16,11,18,27,24,12,12,6,-1,-1,-1,-1,1,2,5,5,5,6,17,9,14,""
29,12,15,16,19,18,20,16,18,12,9,11,13,9,3,5,6,8,7,5,7,9,12,6,12,""
30,12,14,22,26,21,24,16,10,24,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
