dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,146,181,151,178,155,158,135,118,99,118,179,151,162,187,249,193,119,117,86,68,109,73,86,98,""
02,66,169,158,169,128,145,156,83,96,101,151,123,138,152,152,141,98,75,75,66,74,67,85,62,""
03,74,87,136,119,97,100,82,77,54,87,76,99,122,129,178,106,118,116,131,62,67,148,60,156,""
04,137,94,134,120,128,160,132,155,110,108,118,110,138,143,174,167,108,103,77,107,50,66,105,209,""
05,247,259,306,194,125,183,132,308,221,230,183,115,94,323,279,227,279,158,175,192,25,193,212,178,""
06,202,346,26,131,267,102,237,174,173,157,198,199,198,249,237,265,180,191,136,134,98,99,130,124,""
07,208,245,292,227,176,242,234,187,262,191,156,187,256,336,374,330,239,334,347,197,151,183,245,200,""
08,174,186,244,189,177,194,181,142,132,129,204,174,205,223,234,206,149,140,176,104,129,162,112,135,""
09,139,200,194,161,158,190,220,227,125,154,184,185,199,218,237,192,178,125,142,126,163,113,118,124,""
10,125,167,186,166,198,196,232,206,146,145,167,221,262,268,279,223,157,140,175,92,165,172,86,163,""
11,170,183,184,199,209,218,246,230,139,156,175,230,232,279,240,224,192,138,226,129,111,119,95,121,""
12,156,116,218,209,246,278,351,280,164,189,257,269,284,290,256,269,172,140,230,186,166,163,134,131,""
13,212,201,222,315,286,356,451,346,163,210,270,309,307,307,273,252,175,174,118,88,116,109,83,100,""
14,140,205,278,369,391,424,478,475,324,279,316,357,385,340,342,284,207,144,99,166,110,100,129,162,""
15,226,169,262,273,289,306,342,309,201,214,209,201,197,262,219,258,216,200,186,134,99,108,128,133,""
16,191,179,270,226,191,199,170,156,131,115,175,160,194,245,291,226,180,158,165,158,111,141,146,96,""
17,147,141,156,201,170,168,149,118,93,123,118,130,172,215,216,214,151,197,123,125,102,108,93,83,""
18,157,171,204,183,150,191,146,152,107,121,106,152,172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
