feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,3,3,4,2,1,5,2,2,2,7,7,5,1,6,2,1,2,2,2,1,2,0,0,1,""
02,4,6,9,2,7,5,5,4,1,5,7,3,3,3,0,2,8,0,5,1,4,3,2,0,""
03,2,3,6,6,4,6,2,4,3,5,7,7,7,6,5,3,6,2,5,4,5,6,3,4,""
04,5,6,7,4,8,6,9,11,9,2,7,5,7,2,6,4,4,1,1,2,0,1,3,1,""
05,1,5,5,5,5,6,6,8,4,3,5,7,3,1,4,3,5,4,2,2,1,1,0,4,""
06,2,5,3,4,6,0,5,6,5,6,4,7,7,3,2,1,7,4,2,5,0,0,1,0,""
07,3,5,4,3,5,2,5,3,2,3,5,1,5,3,5,3,2,3,0,2,1,1,3,2,""
08,4,1,6,6,1,2,1,3,2,9,6,5,2,5,2,0,1,2,1,1,0,3,2,2,""
09,4,2,3,3,5,1,1,2,2,1,3,4,5,1,3,1,3,0,1,0,1,1,4,4,""
10,2,0,1,3,2,2,0,1,5,4,5,2,2,4,2,3,0,0,0,1,1,1,2,2,""
11,2,3,1,3,0,2,4,3,1,3,2,0,1,3,3,2,5,2,3,1,1,1,2,2,""
12,3,4,1,2,6,3,6,2,4,4,5,5,7,3,4,2,1,1,0,1,2,1,2,6,""
13,4,5,5,3,2,6,0,4,7,4,5,11,7,4,3,3,2,1,0,3,1,2,3,2,""
14,3,7,2,3,3,6,2,1,4,3,4,4,3,2,2,2,1,2,0,2,1,2,1,1,""
15,2,2,4,3,2,3,6,4,4,6,6,1,1,6,2,5,3,0,1,7,4,3,5,1,""
16,3,0,7,6,1,4,4,6,10,7,12,7,5,3,0,1,0,2,2,0,1,0,2,2,""
17,2,4,4,1,2,5,5,6,5,2,3,4,5,2,3,0,0,2,1,2,2,0,2,1,""
18,3,1,1,6,3,3,2,5,3,5,1,3,3,12,3,3,2,1,3,2,4,0,0,4,""
19,5,4,4,4,7,5,3,7,6,9,8,2,4,8,0,3,5,2,0,1,0,3,3,1,""
20,4,2,4,0,2,3,2,3,5,2,3,2,4,0,5,1,1,1,0,1,4,0,1,3,""
21,2,3,1,8,3,6,5,4,3,0,3,2,3,4,7,1,6,2,0,1,1,3,3,4,""
22,6,6,6,5,5,5,4,5,6,4,4,6,7,6,2,2,6,3,2,1,4,0,3,4,""
23,5,5,6,10,3,6,13,10,9,7,5,8,13,8,4,2,1,3,2,5,4,4,6,5,""
24,7,8,11,9,9,14,6,7,8,7,7,5,5,3,2,3,0,2,1,1,1,2,2,2,""
25,5,6,5,9,5,5,4,9,5,7,5,1,7,3,6,2,1,2,0,2,5,1,3,6,""
26,2,4,5,4,6,4,3,4,14,3,6,5,3,4,7,2,2,4,2,1,2,4,8,3,""
27,7,3,7,11,10,5,3,8,9,14,8,10,4,1,7,3,3,2,2,2,4,3,2,2,""
28,3,4,8,9,8,3,4,5,7,4,16,9,10,8,4,4,4,3,1,4,2,5,1,4,""
29,6,6,14,5,10,9,10,7,7,12,7,8,10,5,6,6,4,4,3,3,3,4,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
