feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,22,23,23,29,21,47,64,33,28,95,129,81,18,25,26,36,30,26,25,18,10,11,17,16,""
02,21,22,24,17,25,30,29,30,21,35,28,31,23,29,22,20,21,17,14,17,18,14,8,11,""
03,20,18,24,26,29,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,16,19,16,26,20,""
04,30,30,22,16,25,24,36,37,21,30,34,29,25,27,18,14,12,12,16,20,17,10,9,25,""
05,16,29,17,17,27,26,23,22,30,27,21,24,22,25,20,18,14,9,17,14,18,16,18,23,""
06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
07,20,22,38,25,27,26,28,39,24,29,27,29,25,24,34,15,19,15,16,18,16,15,9,16,""
08,18,20,25,16,23,27,31,18,36,18,24,21,16,22,16,33,19,22,9,11,19,17,25,19,""
09,22,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,11,13,14,17,10,19,""
10,21,25,23,16,16,20,27,25,21,26,25,30,20,23,27,21,18,16,13,15,15,17,18,21,""
11,18,18,21,23,30,24,24,22,30,29,17,32,30,32,22,27,17,16,12,18,17,14,17,15,""
12,24,17,22,24,15,23,19,19,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,14,16,13,""
13,9,19,18,25,20,20,24,26,27,27,30,15,32,32,19,13,19,17,15,25,18,15,19,19,""
14,18,15,20,24,23,24,23,37,24,28,28,28,24,24,19,23,18,7,12,21,18,23,25,19,""
15,16,21,13,24,24,19,27,22,29,29,24,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,19,""
16,21,26,22,15,33,21,40,26,20,21,26,33,27,30,24,25,14,10,18,15,9,22,20,21,""
17,25,17,31,22,23,14,22,28,17,29,28,22,35,29,18,24,22,20,14,14,15,24,18,21,""
18,30,21,17,23,18,23,33,23,21,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,14,18,16,13,""
19,23,24,18,25,27,20,15,18,19,31,33,31,15,24,14,11,13,14,21,16,16,21,12,15,""
20,20,20,36,23,27,18,24,28,24,20,21,26,29,18,12,16,16,13,10,11,11,14,21,17,""
21,17,20,14,23,22,23,29,20,15,22,16,-1,-1,-1,-1,-1,-1,8,12,14,17,16,15,18,""
22,20,24,25,19,26,17,17,28,24,19,19,29,37,24,23,22,19,6,10,16,25,13,9,20,""
23,16,22,23,16,25,14,20,19,26,22,27,32,29,25,16,13,22,15,11,18,19,17,24,22,""
24,17,29,22,31,20,29,20,22,27,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,17,22,26,""
25,24,25,23,15,14,14,26,23,21,14,25,26,23,23,18,15,17,13,12,14,11,21,14,16,""
26,15,20,16,15,15,10,17,15,24,25,22,29,31,21,23,14,16,17,6,8,10,17,8,26,""
27,19,21,12,21,18,17,19,17,19,26,11,-1,-1,25,22,20,10,18,9,18,15,15,24,18,""
28,26,31,25,21,20,32,23,28,38,31,31,35,23,26,21,27,19,11,16,13,27,20,34,26,""
29,22,18,28,18,31,27,29,30,24,22,27,32,27,33,33,15,27,19,11,17,16,22,17,24,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
