mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,154,208,178,167,146,146,145,163,137,119,152,88,74,107,83,57,52,46,43,37,64,90,102,126,""
02,160,160,214,200,179,144,151,137,141,134,119,104,107,82,83,66,54,40,38,33,38,25,87,103,""
03,103,155,193,286,191,100,109,110,121,81,111,149,166,166,112,71,75,23,61,62,84,92,113,140,""
04,161,180,167,120,98,76,85,170,179,79,146,102,90,91,59,34,40,37,32,42,42,57,47,68,""
05,76,99,97,86,87,91,73,111,164,135,154,148,126,114,67,45,42,45,33,40,51,40,62,82,""
06,115,109,145,134,164,121,106,125,113,139,135,113,100,115,53,55,23,38,48,50,47,43,48,62,""
07,88,99,91,90,83,92,96,81,68,71,60,69,66,90,86,61,54,38,46,28,42,26,37,44,""
08,62,62,78,89,88,74,79,61,76,80,96,74,77,74,74,51,63,35,39,32,36,31,43,39,""
09,42,61,58,56,65,43,45,36,70,78,71,91,79,76,61,59,52,42,47,66,54,43,51,71,""
10,98,97,91,106,97,94,90,86,84,114,102,66,58,65,60,60,41,25,38,30,39,46,62,59,""
11,68,96,93,99,96,77,86,76,102,94,101,125,159,138,143,119,80,80,91,79,90,83,109,109,""
12,167,189,185,218,206,187,166,161,165,127,108,142,116,91,56,45,62,45,38,35,69,74,106,129,""
13,190,199,198,210,205,191,201,185,133,179,85,62,93,70,70,52,40,27,55,60,86,92,98,140,""
14,170,202,229,235,181,207,213,165,132,147,107,91,99,101,71,60,31,20,25,29,47,56,113,141,""
15,171,196,208,214,210,171,193,178,161,181,183,183,162,133,138,106,101,76,99,138,69,89,135,176,""
16,172,223,226,215,81,67,95,69,144,219,247,158,130,86,112,94,96,77,106,76,94,99,141,138,""
17,183,206,235,210,194,173,181,165,179,168,162,144,91,114,142,135,120,63,33,50,18,27,99,119,""
18,140,192,176,191,181,179,190,184,158,165,97,123,167,120,109,177,67,195,76,69,67,63,45,56,""
19,141,172,199,189,189,167,171,173,101,81,79,113,76,137,134,156,77,87,60,54,66,46,34,38,""
20,100,123,145,135,149,148,144,154,84,72,124,125,143,130,149,93,106,136,130,85,65,70,35,48,""
21,62,111,140,156,199,147,162,62,61,86,132,55,80,86,47,80,156,73,67,67,60,79,96,107,""
22,122,95,74,78,67,44,42,69,75,65,133,119,85,90,98,61,59,50,39,55,64,78,76,113,""
23,138,133,143,155,129,108,84,93,71,44,34,70,62,55,62,40,52,49,106,58,90,70,39,52,""
24,107,59,59,66,65,116,124,144,136,154,148,97,95,47,42,66,37,26,33,36,41,44,67,72,""
25,58,48,46,42,79,149,153,148,83,96,153,203,211,109,103,76,84,75,84,39,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
