mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,19,29,29,25,25,22,26,26,42,31,19,29,20,13,13,9,12,13,16,13,20,29,25,15,""
02,26,20,22,24,30,36,27,34,19,23,42,38,37,31,21,30,24,18,27,30,23,32,34,39,""
03,47,38,34,37,41,30,21,20,19,30,40,50,28,23,24,23,12,9,12,12,16,22,28,28,""
04,36,23,28,31,45,33,52,52,46,36,51,57,35,30,27,24,22,29,21,29,29,39,47,47,""
05,58,57,48,42,30,59,45,31,69,72,59,68,62,45,42,31,30,34,26,30,33,31,35,40,""
06,47,55,37,43,38,35,51,41,30,63,53,52,55,40,33,29,28,26,26,27,33,43,41,44,""
07,59,49,34,47,37,28,46,58,64,54,66,82,25,20,14,21,14,17,21,26,35,43,43,46,""
08,56,43,37,51,42,52,51,58,53,72,44,30,30,42,35,80,18,25,36,27,36,36,51,56,""
09,63,49,58,55,42,33,38,63,55,73,65,73,55,39,36,26,11,17,16,11,14,24,33,36,""
10,68,55,49,43,35,55,47,58,46,46,54,40,50,41,24,30,25,36,31,21,37,50,53,57,""
11,67,49,47,34,47,57,45,62,65,61,67,40,54,46,33,21,24,23,24,19,30,35,53,52,""
12,55,59,59,40,47,43,38,61,55,46,54,54,49,40,37,31,26,20,26,23,32,34,36,49,""
13,42,56,49,50,45,48,43,57,50,60,46,59,48,37,29,10,22,21,21,26,33,28,38,38,""
14,54,53,51,41,43,42,39,42,39,41,35,43,25,30,20,22,26,29,24,45,32,41,64,64,""
15,55,17,19,15,10,14,21,19,45,60,51,54,52,49,32,26,21,24,25,27,0,38,36,31,""
16,35,47,52,43,48,54,62,61,72,81,65,73,50,42,34,22,23,13,15,0,26,21,22,25,""
17,32,34,30,30,37,46,60,66,75,59,55,63,40,41,33,26,25,21,23,9,15,17,25,24,""
18,33,38,47,45,36,47,50,66,61,73,52,60,48,47,23,30,25,20,16,16,41,30,28,58,""
19,56,59,51,55,57,59,64,51,53,53,54,56,44,44,27,26,31,23,35,27,20,34,54,54,""
20,48,41,54,29,43,49,50,47,49,46,46,64,64,36,43,29,27,27,21,25,28,43,53,50,""
21,39,33,41,46,54,56,24,44,49,45,47,53,50,30,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,43,42,43,23,22,18,15,18,20,17,14,32,40,47,""
23,44,41,47,50,34,41,57,50,61,43,42,43,38,39,23,24,21,22,28,22,26,38,46,39,""
24,52,58,50,52,42,41,48,63,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,37,23,20,18,48,-1,-1,-1,-1,-1,-1,43,""
27,18,26,27,28,22,41,45,52,39,-1,12,45,34,36,36,25,24,26,16,20,23,42,41,33,""
28,46,46,48,46,45,39,48,49,48,42,39,42,35,3,26,21,19,18,27,33,45,42,43,47,""
29,52,57,49,31,38,44,38,56,41,31,39,27,18,16,13,14,7,12,17,30,32,38,37,43,""
30,43,54,42,28,32,39,47,64,61,66,56,43,49,30,29,24,12,21,20,23,31,29,37,51,""
31,55,54,34,42,43,36,44,63,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,""
