apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,017,016,014,015,026,018,021,015,024,027,026,027,023,024,013,014,013,012,009,006,010,012,024,017
02,019,021,018,017,018,020,017,017,024,021,018,023,034,010,015,009,011,011,009,008,014,015,013,023
03,019,028,023,019,020,017,022,019,022,030,026,017,018,014,013,011,014,012,009,009,011,008,013,014
04,017,024,023,015,018,024,023,021,013,018,023,026,020,018,016,017,011,008,006,016,011,024,022,024
05,021,034,024,019,024,020,017,019,015,034,020,021,026,011,015,014,008,009,010,006,009,015,020,019
06,026,022,025,027,021,029,031,029,024,023,023,022,017,016,017,008,010,009,004,006,009,020,020,016
07,023,020,021,016,013,021,017,021,018,020,020,020,019,015,013,007,008,006,006,010,008,014,011,012
08,023,018,027,019,014,011,020,028,015,025,024,025,017,009,015,011,009,005,003,003,014,013,017,026
09,024,021,021,017,018,023,020,024,016,018,019,016,010,007,008,009,007,005,010,007,009,015,014,019
10,014,025,024,015,014,018,013,015,023,020,040,021,009,009,013,019,012,003,006,005,007,016,015,019
11,021,025,009,019,019,016,017,019,028,026,021,025,009,017,011,012,012,007,009,007,010,008,016,027
12,018,022,028,020,028,013,014,018,026,017,019,022,017,018,008,013,007,013,014,009,006,012,012,018
13,021,013,018,017,021,009,018,017,016,013,000,019,012,016,016,014,009,005,011,010,013,019,016,012
14,014,021,015,015,014,030,017,019,017,019,025,017,024,011,013,011,011,010,009,007,019,014,014,017
15,016,018,019,019,017,014,020,019,027,021,015,022,014,019,019,013,004,008,012,008,010,013,024,017
16,012,013,014,019,012,021,021,010,026,024,022,021,022,012,000,014,000,011,010,007,000,011,012,017
17,019,012,018,020,016,021,026,026,016,029,018,019,020,013,011,009,012,011,006,004,010,009,016,021
18,022,013,012,023,018,017,024,026,025,023,024,022,014,017,011,007,007,012,007,008,009,020,017,016
19,022,019,015,028,021,024,016,022,023,017,025,025,016,004,017,013,010,005,006,006,010,018,011,019
20,017,033,021,000,023,020,000,030,035,031,028,020,022,010,023,010,015,008,007,004,010,008,008,022
21,020,020,031,020,018,023,019,022,022,029,031,021,022,013,016,012,013,011,002,006,013,013,026,034
22,018,025,021,030,029,019,028,027,021,032,023,021,015,033,016,021,015,007,007,008,011,014,022,024
23,037,022,019,018,026,026,024,028,025,029,030,036,020,018,018,007,010,012,010,005,010,016,015,017
24,016,025,000,000,000,017,000,026,024,030,026,019,000,000,012,012,000,000,009,010,006,014,018,020
25,018,009,024,023,029,017,027,027,026,025,027,014,014,021,011,018,010,011,004,007,000,010,018,018
26,014,019,000,026,000,000,000,000,020,022,021,022,011,013,021,019,008,006,004,004,010,014,018,023
27,013,020,022,024,015,026,026,032,023,026,021,016,014,021,017,030,008,011,010,009,012,015,024,016
28,023,021,020,018,024,018,033,027,029,024,032,035,018,024,021,012,012,013,007,008,011,015,012,026
29,023,021,024,020,017,034,020,030,035,025,021,018,024,014,014,017,018,007,008,013,010,012,005,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
