jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
09,-1,-1,-1,-1,-1,6,55,106,109,93,138,124,126,130,183,131,59,42,50,12,20,21,51,40,""
10,47,35,19,42,37,47,52,63,94,61,89,139,153,199,210,198,212,178,99,71,48,59,87,94,""
11,71,73,55,67,63,50,107,105,100,100,103,132,148,196,175,228,140,145,81,73,54,65,66,82,""
12,72,55,37,57,24,45,67,81,98,113,95,156,166,211,239,209,169,130,61,60,62,46,44,52,""
13,41,30,34,42,51,42,79,118,107,101,159,108,171,165,164,173,182,139,121,76,59,91,80,75,""
14,70,56,36,36,56,69,80,123,112,108,131,128,169,197,201,158,176,166,114,60,39,45,55,51,""
15,45,51,38,27,40,44,77,79,90,70,68,130,112,131,129,116,88,79,58,57,25,20,38,34,""
16,50,37,47,42,46,51,45,93,91,60,82,119,138,147,146,121,94,83,69,40,24,16,29,28,""
17,42,37,31,40,28,42,85,100,114,79,87,103,126,102,109,102,118,82,58,45,37,40,48,52,""
18,46,28,16,27,35,41,73,101,117,91,116,106,127,129,114,118,110,98,97,95,88,74,73,106,""
19,93,74,68,79,68,61,75,78,83,92,83,115,121,161,186,162,124,119,94,57,56,42,45,42,""
20,30,29,32,35,35,39,78,87,84,58,80,83,134,132,100,124,119,90,75,55,27,27,48,76,""
21,33,48,38,37,52,58,82,75,82,74,83,112,115,145,119,93,93,101,66,65,45,30,42,39,""
22,20,16,40,18,53,73,66,60,52,60,69,78,79,100,87,106,96,70,67,45,26,26,46,57,""
23,57,46,41,38,40,55,54,61,55,40,64,73,85,83,97,120,119,102,124,65,55,45,44,63,""
24,52,39,38,43,43,71,78,103,95,89,100,111,152,122,114,123,118,99,81,65,53,49,58,96,""
25,69,75,54,57,62,88,120,109,109,103,114,134,137,153,153,137,124,113,81,75,43,33,48,41,""
26,46,35,33,42,36,51,89,88,96,90,94,108,118,112,126,113,121,74,66,54,54,28,23,32,""
27,27,30,32,41,66,40,48,60,61,60,61,87,82,93,126,146,115,110,73,43,40,25,11,21,""
28,18,33,43,89,101,62,94,125,116,73,101,103,82,113,95,88,46,45,35,28,26,30,36,49,""
29,53,43,17,20,25,34,75,88,103,93,98,94,116,91,49,76,51,56,55,26,38,33,34,35,""
30,27,27,28,37,39,33,67,75,82,108,73,51,76,53,33,39,62,57,41,47,27,26,14,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
