jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,17,24,18,30,35,-1,-1,-1,-1,-1,-1,77,97,88,81,73,64,59,35,36,42,36,28,27,""
02,21,18,33,31,50,56,44,61,52,80,68,67,73,39,54,62,54,56,46,42,45,46,43,29,""
03,17,28,24,36,50,49,59,65,65,84,88,72,89,76,88,75,68,67,52,60,43,44,36,20,""
04,21,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,67,59,58,71,59,45,49,55,56,57,24,17,""
05,16,17,26,29,39,61,61,60,69,75,71,76,82,58,68,51,68,61,58,44,58,48,37,16,""
06,19,24,32,31,52,44,42,58,69,90,75,82,27,56,73,95,71,67,54,55,52,46,27,25,""
07,13,18,27,28,50,46,58,61,71,75,100,85,73,68,64,57,58,54,53,63,73,72,37,21,""
08,14,16,20,28,54,52,62,59,57,74,59,75,73,78,65,75,91,76,50,48,68,64,36,29,""
09,23,14,31,31,40,53,67,50,70,81,87,71,76,68,64,57,63,55,51,46,73,48,40,37,""
10,21,21,22,34,37,45,62,56,58,87,89,92,64,67,56,57,55,63,59,58,57,62,32,25,""
11,15,20,26,21,47,49,67,60,84,82,98,71,73,71,78,60,54,60,52,50,73,78,41,20,""
12,20,31,21,37,44,46,52,49,94,78,84,66,63,52,65,70,51,55,39,100,54,48,38,28,""
13,24,23,21,35,42,52,80,77,98,91,88,90,82,71,49,75,69,62,67,55,82,69,59,20,""
14,26,20,22,21,40,41,50,43,71,77,74,56,51,51,49,44,68,60,51,33,58,44,37,35,""
15,12,25,18,42,40,60,84,88,117,118,109,113,73,62,44,60,62,53,77,42,52,54,46,21,""
16,21,14,12,39,44,47,45,62,80,92,70,74,65,52,53,43,41,51,35,40,44,44,26,20,""
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,61,64,39,42,49,47,42,58,51,50,33,28,""
18,15,9,18,37,44,66,43,69,69,71,63,65,56,40,46,39,34,36,25,42,38,48,30,14,""
19,15,20,17,27,33,40,55,55,56,61,75,50,74,59,48,40,38,38,44,38,42,41,49,22,""
20,21,17,28,36,49,46,42,58,73,70,69,63,62,51,31,48,39,60,51,31,26,42,33,23,""
21,17,23,18,39,46,57,52,58,72,85,94,109,65,48,44,58,56,48,48,26,48,49,39,16,""
22,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,66,63,36,57,50,53,32,45,47,32,30,""
23,24,15,29,34,44,64,58,74,74,72,82,67,60,68,65,45,47,47,43,44,42,41,30,20,""
24,20,20,25,52,63,76,88,85,80,80,79,73,0,0,0,-1,-1,3,50,25,41,36,46,23,""
25,21,24,32,40,54,86,72,73,78,89,108,100,63,57,45,35,50,50,55,40,48,43,37,38,""
26,27,19,28,28,48,48,75,48,41,42,39,32,46,66,60,59,57,69,47,17,37,55,46,17,""
27,10,18,20,32,50,74,81,103,75,84,79,82,52,64,58,57,62,53,53,46,42,33,37,33,""
28,19,15,31,46,47,67,99,97,115,99,78,86,72,94,62,57,55,31,66,56,54,52,38,25,""
29,23,28,33,61,52,93,95,99,93,86,96,86,73,79,74,71,52,50,52,54,36,42,35,37,""
30,32,25,35,32,53,84,85,81,102,103,84,90,85,62,68,63,72,68,40,47,26,33,27,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
