jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,003,015,017,027,018,015,019,020,022,014,013,009,017,013,013,014,010,004,006,008,007,010,012,015
02,009,019,016,016,026,023,023,021,015,014,010,011,017,013,025,025,010,005,004,012,014,013,010,010
03,013,011,010,015,022,036,018,000,000,020,000,014,000,024,000,025,014,000,004,010,010,014,008,011
04,009,006,014,019,016,033,030,024,020,012,012,011,009,017,020,028,019,011,008,009,008,010,015,011
05,017,010,019,016,029,000,033,016,024,018,016,009,009,023,018,029,013,011,005,007,009,009,010,012
06,010,015,024,020,028,018,030,023,016,015,018,015,015,020,035,023,019,010,005,005,007,015,004,008
07,015,005,018,032,025,037,025,030,029,020,017,017,012,025,025,027,020,011,003,011,011,013,006,013
08,006,006,019,028,026,026,024,024,023,000,021,022,000,035,034,031,009,013,005,010,010,006,007,010
09,014,011,017,029,028,031,035,018,026,024,015,017,010,026,030,022,012,007,002,012,006,011,003,014
10,010,010,018,019,022,030,023,028,022,015,011,010,015,019,031,026,018,011,004,011,007,008,007,007
11,008,017,023,032,026,028,028,026,018,017,017,011,008,000,031,022,021,000,011,008,009,005,010,010
12,008,015,010,014,000,033,025,023,030,021,007,011,018,029,023,027,016,016,008,000,000,016,009,018
13,014,014,000,000,030,000,026,021,022,012,010,012,011,027,041,022,013,015,013,018,015,008,013,007
14,011,015,027,035,028,025,031,019,007,005,016,016,011,020,031,000,015,008,003,010,012,000,000,009
15,012,012,020,024,038,031,022,033,028,021,022,014,016,024,035,018,018,000,000,012,000,006,010,000
16,000,000,023,033,000,029,031,021,037,023,013,014,015,025,035,019,024,012,012,004,009,006,015,017
17,010,016,013,024,022,018,030,023,017,015,014,011,020,022,027,025,010,012,007,010,010,010,013,009
18,014,017,020,029,023,027,029,021,015,015,014,009,018,021,031,021,016,010,002,006,011,010,012,014
19,009,022,015,015,020,040,027,017,031,015,012,016,013,013,023,024,015,015,012,007,016,011,016,008
20,017,010,007,019,024,024,000,024,011,000,000,000,000,014,000,025,010,008,000,000,010,006,000,013
21,013,014,016,020,000,000,017,023,015,016,021,012,019,026,023,020,018,010,009,005,010,013,013,007
22,012,024,000,000,000,022,017,018,016,014,014,000,018,019,012,014,014,000,009,012,007,008,016,006
23,015,014,019,020,021,016,020,018,021,019,009,010,022,016,024,020,021,013,008,006,005,012,016,008
24,007,018,014,021,000,026,023,020,011,015,009,017,011,012,017,018,015,017,007,010,010,012,008,005
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
