aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,229,219,223,217,199,193,176,158,140,122,93,89,82,79,63,0,58,70,73,93,103,149,171,218,""
02,222,236,228,201,210,162,152,134,141,124,82,101,92,93,68,64,52,58,73,93,122,160,165,198,""
03,206,200,198,179,160,161,158,172,128,103,74,58,49,77,68,53,35,61,66,85,106,101,166,185,""
04,216,208,194,177,187,167,146,169,127,118,91,77,103,88,69,50,63,72,74,87,95,138,169,189,""
05,202,230,202,197,165,185,180,160,144,121,100,76,74,78,85,80,51,54,69,91,122,144,174,174,""
06,180,204,173,176,182,173,159,161,143,123,97,89,96,90,54,58,72,65,62,57,59,75,146,162,""
07,212,217,182,170,166,156,137,117,101,91,88,61,62,78,80,57,52,56,71,87,51,0,131,180,""
08,211,207,194,201,192,165,151,150,-1,-1,-1,-1,-1,-1,-1,-1,29,45,69,105,113,147,146,190,""
09,192,203,181,163,187,167,128,160,132,85,66,63,52,39,53,59,51,57,55,82,97,134,157,178,""
10,203,186,189,169,194,156,152,167,121,138,95,94,101,84,71,74,69,86,70,64,75,89,76,151,""
11,163,168,178,172,165,163,176,138,116,119,98,99,97,80,50,64,64,48,87,96,111,96,170,215,""
12,203,223,234,199,230,215,204,185,88,61,67,54,55,62,51,52,37,57,45,54,66,91,91,118,""
13,171,197,201,198,182,171,145,145,109,90,89,70,60,69,79,72,58,69,66,42,62,68,99,160,""
14,170,191,190,201,165,183,149,155,121,111,129,85,82,73,58,53,69,56,42,52,91,128,157,153,""
15,168,168,153,148,168,176,144,120,121,96,89,82,85,76,69,55,56,31,31,49,77,120,136,141,""
16,155,138,163,162,159,157,141,147,139,104,81,99,70,54,75,52,55,66,76,49,42,76,131,146,""
17,138,142,132,141,162,163,155,143,122,122,76,77,90,40,76,74,72,86,69,6,0,0,1,1,""
18,0,0,1,1,0,0,4,2,6,3,0,2,0,4,4,8,3,0,0,1,78,104,116,145,""
19,161,149,152,148,145,131,122,112,84,88,88,66,84,72,69,49,60,69,71,58,98,100,124,137,""
20,143,152,136,164,158,137,134,123,118,80,85,85,83,70,62,62,66,74,71,73,95,87,79,133,""
21,139,134,117,130,125,123,134,105,113,78,60,68,78,71,67,65,47,57,49,47,79,113,116,122,""
22,167,160,154,130,145,150,130,117,107,86,81,68,76,80,71,67,51,62,61,56,54,91,118,141,""
23,152,147,141,136,127,100,107,102,77,49,76,55,54,57,50,43,30,49,51,75,75,115,113,133,""
24,155,135,132,124,124,143,133,121,106,83,69,72,65,55,60,65,47,71,81,94,60,79,126,129,""
25,192,166,175,143,145,146,155,122,124,99,94,67,63,53,61,57,65,57,84,81,74,72,131,125,""
26,172,187,170,178,169,146,168,131,121,104,113,99,82,58,43,68,72,71,85,81,64,72,137,142,""
27,155,172,156,180,150,162,150,137,113,100,80,77,86,93,72,67,34,30,52,43,57,46,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,46,54,59,73,66,72,124,142,""
29,162,164,170,147,158,165,133,153,134,96,71,84,88,95,85,68,57,56,64,80,61,109,145,153,""
30,160,146,143,144,165,146,157,148,161,126,122,92,88,77,72,52,64,64,74,86,117,84,138,130,""
31,169,173,151,158,136,140,153,149,119,163,128,118,83,82,70,67,73,58,69,58,77,-1,-1,-1,""
