aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,118,113,92,116,113,61,48,45,30,23,20,21,20,25,17,19,22,9,14,12,23,34,40,65,""
02,112,102,91,108,97,89,64,42,39,27,30,18,19,20,21,26,17,22,20,13,27,48,62,78,""
03,92,109,86,97,80,72,75,47,43,38,28,35,23,25,34,21,22,19,23,24,40,43,41,62,""
04,104,108,110,89,74,83,48,38,41,29,25,38,36,28,40,38,38,34,22,35,36,27,51,43,""
05,87,102,106,98,77,52,45,34,29,29,27,28,22,19,20,20,19,18,25,21,25,36,48,68,""
06,84,88,104,83,89,64,41,50,47,30,23,21,17,11,18,24,11,11,14,15,23,48,57,65,""
07,113,117,92,96,86,56,33,35,32,26,29,21,21,21,18,23,25,18,22,26,27,34,46,62,""
08,93,90,87,103,91,80,39,39,40,37,25,20,23,22,23,27,17,19,16,21,34,41,33,68,""
09,100,94,100,105,79,66,41,36,46,36,31,22,28,29,18,19,24,23,22,21,28,56,73,69,""
10,77,92,77,88,83,79,66,35,47,44,32,27,26,30,29,20,25,27,20,13,25,21,52,73,""
11,111,106,105,136,114,78,38,38,44,32,40,36,40,30,21,28,33,27,22,32,42,41,64,108,""
12,159,153,182,188,149,89,68,59,69,49,54,57,48,53,37,41,34,33,25,24,48,67,102,100,""
13,125,148,160,157,118,109,58,57,40,31,38,34,28,26,33,19,22,23,27,25,39,36,81,82,""
14,112,105,110,120,98,87,57,42,47,38,34,30,27,24,29,33,29,30,22,19,29,41,44,73,""
15,84,108,90,109,109,77,47,33,30,28,24,21,24,14,21,19,18,-1,-1,-1,-1,-1,39,47,""
16,80,76,83,68,79,59,65,30,42,32,30,25,18,27,24,29,27,16,18,22,24,31,50,40,""
17,70,82,83,82,90,51,37,31,36,24,26,28,24,25,19,34,26,12,21,17,25,26,37,65,""
18,59,57,75,83,59,39,36,33,26,28,26,29,27,25,31,42,39,27,34,20,33,30,30,56,""
19,87,88,94,88,79,55,46,29,27,17,29,27,23,29,29,20,20,20,17,14,19,27,36,69,""
20,71,74,80,70,74,60,24,42,28,19,29,23,18,21,28,19,29,23,21,20,25,31,49,57,""
21,86,71,69,76,68,58,41,32,35,33,25,36,31,29,21,28,22,17,21,22,17,35,43,60,""
22,87,77,76,87,72,59,41,49,37,32,33,29,28,23,29,25,23,12,15,24,18,33,30,51,""
23,65,98,72,78,66,66,25,45,31,26,36,25,23,31,22,17,16,19,19,16,18,24,40,46,""
24,69,66,83,67,76,62,47,38,33,39,33,26,30,27,32,28,29,24,18,19,26,32,40,46,""
25,59,73,71,69,70,48,35,24,27,24,24,26,43,41,32,39,41,21,26,22,26,33,39,28,""
26,49,74,79,80,80,64,34,28,20,24,22,26,17,14,14,25,14,24,16,20,25,34,39,38,""
27,75,76,74,86,61,54,28,30,27,24,20,23,18,15,26,15,15,20,16,22,21,36,45,51,""
28,66,82,69,68,70,58,33,33,32,18,20,15,13,14,22,19,15,17,14,15,18,23,45,59,""
29,55,66,80,70,84,40,32,23,25,19,27,23,17,24,18,22,17,17,14,18,21,21,27,33,""
30,60,75,68,77,66,44,35,33,27,26,22,18,20,21,16,13,22,15,16,15,27,42,60,72,""
31,62,73,63,65,64,61,51,34,58,35,52,60,22,36,36,33,19,20,23,15,19,32,42,42,""
