sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,10,17,17,12,13,20,20,16,24,14,23,9,0,0,0,0,0,0,0,0,4,6,11,7,""
02,14,18,21,9,20,18,22,14,27,20,19,9,0,0,0,0,0,0,0,0,2,8,15,15,""
03,15,19,14,12,11,11,17,13,14,17,16,0,0,0,0,0,0,0,0,0,0,12,7,18,""
04,21,13,23,16,14,16,18,19,18,17,18,3,0,0,0,0,0,0,0,0,6,8,8,18,""
05,11,14,14,19,16,11,16,20,18,20,19,18,0,0,0,0,0,0,0,3,12,10,14,11,""
06,22,9,16,12,13,15,13,11,18,21,24,4,0,0,0,0,0,0,0,0,0,6,9,12,""
07,14,11,11,12,18,16,19,8,22,17,19,6,0,0,0,0,0,0,0,0,6,12,18,20,""
08,15,7,12,10,11,11,9,25,31,31,18,20,13,10,1,3,2,1,2,8,23,13,18,27,""
09,25,15,16,12,23,18,18,14,16,30,23,17,0,18,0,0,0,0,0,1,8,6,8,14,""
10,21,20,18,17,11,14,18,8,17,16,19,3,0,0,0,0,0,0,0,0,8,12,8,14,""
11,15,14,19,19,12,18,14,23,14,16,15,9,0,0,0,0,0,0,0,0,4,8,13,9,""
12,21,15,10,15,12,17,19,16,16,19,11,0,0,0,0,0,0,0,0,0,0,3,11,16,""
13,15,11,21,19,16,10,12,23,17,26,23,1,0,0,0,0,0,0,0,0,7,11,13,16,""
14,15,20,13,10,8,14,24,25,13,19,22,21,23,12,10,9,12,9,8,14,6,15,19,23,""
15,12,18,23,16,13,13,15,30,12,19,9,18,12,14,14,7,12,1,7,8,5,10,15,14,""
16,12,21,5,13,12,17,12,13,21,12,19,15,13,15,13,7,8,14,18,13,7,9,14,11,""
17,20,20,18,17,16,16,12,16,23,26,20,16,21,13,22,22,13,15,17,9,9,8,11,14,""
18,5,17,5,4,7,3,1,2,12,18,20,13,27,10,18,13,20,9,14,15,13,15,9,20,""
19,20,19,16,13,16,13,25,22,11,17,21,23,27,12,12,12,7,16,12,7,8,7,8,19,""
20,29,21,20,10,12,16,6,11,13,20,25,23,19,8,10,12,19,14,12,7,15,14,15,16,""
21,14,23,10,12,14,7,2,2,2,24,24,20,19,2,3,0,1,7,7,12,6,9,21,17,""
22,13,12,4,2,4,1,1,0,0,10,21,13,6,0,0,0,0,0,4,8,7,8,14,13,""
23,13,17,9,9,9,25,18,14,10,16,29,23,11,0,0,0,0,0,1,13,11,13,10,21,""
24,15,15,20,20,21,24,24,19,22,31,27,17,0,0,0,0,0,0,3,14,13,20,9,15,""
25,18,19,11,29,11,15,22,22,18,25,24,21,21,18,15,13,16,17,10,11,6,12,16,14,""
26,21,23,29,11,12,13,14,36,17,29,23,22,17,16,2,0,0,9,10,9,17,14,22,24,""
27,28,11,9,4,4,2,1,4,4,19,30,27,19,2,0,0,0,0,17,13,13,13,20,21,""
28,22,19,8,8,3,2,2,0,1,18,30,27,6,0,0,0,0,0,8,10,11,21,20,19,""
29,33,25,7,6,3,3,5,2,4,17,24,30,3,0,0,0,0,0,1,16,16,9,14,18,""
30,23,20,9,20,17,18,20,28,26,27,35,27,12,0,0,0,0,0,6,6,16,19,10,20,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]fjf,"pkhIndh`e'jfd"
