sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,25,24,23,23,38,32,45,45,32,49,43,41,-1,-1,14,23,33,21,22,27,16,16,23,11,""
02,13,20,0,35,37,40,32,41,37,46,31,49,29,37,24,36,16,28,26,27,16,30,29,26,""
03,18,22,28,41,45,55,85,74,50,49,44,37,45,52,50,62,53,49,51,36,40,35,32,27,""
04,31,40,32,60,68,68,83,88,72,78,65,69,61,72,-1,3,70,63,49,52,43,50,40,38,""
05,41,44,39,53,72,67,81,73,68,66,61,63,59,51,62,71,64,62,32,31,28,38,29,35,""
06,30,41,49,36,67,71,67,69,76,59,45,58,61,49,59,54,56,59,47,41,34,34,37,24,""
07,27,43,35,36,26,34,37,61,62,66,52,50,34,27,38,27,33,25,18,-1,-1,-1,-1,-1,""
08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,47,48,41,52,38,37,27,30,18,15,""
09,15,23,29,37,56,48,63,50,60,73,104,87,82,90,102,72,69,49,45,33,35,46,42,31,""
10,38,40,58,77,87,79,112,103,112,97,95,82,84,108,77,75,49,42,38,38,36,53,48,33,""
11,16,34,40,33,37,28,47,41,51,42,46,78,71,65,72,65,62,52,43,57,44,51,50,45,""
12,43,42,60,72,68,102,97,82,98,95,83,64,85,80,74,78,88,75,78,46,54,43,36,37,""
13,36,73,132,99,71,65,79,97,83,80,64,86,60,61,71,75,60,59,69,49,39,27,-1,-1,""
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,46,39,35,27,44,41,23,-1,-1,-1,14,20,""
15,36,29,37,61,75,71,84,92,75,71,69,64,66,64,79,93,82,69,53,49,48,38,47,33,""
16,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,113,116,72,63,57,61,-1,-1,-1,""
17,33,60,58,72,99,89,125,126,112,101,86,90,87,97,102,90,56,82,68,42,29,23,22,28,""
18,51,53,45,56,74,79,113,93,100,87,77,68,79,71,78,57,71,90,44,18,26,20,25,16,""
19,18,21,13,36,45,36,90,145,55,38,1,28,53,54,67,68,57,75,36,19,18,17,15,14,""
20,21,19,22,35,37,35,35,42,39,28,32,30,32,30,34,32,38,35,31,34,29,11,15,14,""
21,15,11,23,28,37,49,38,43,45,34,36,41,37,30,29,40,49,31,24,-1,-1,-1,-1,-1,""
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,58,43,41,46,38,47,62,55,54,41,22,24,""
23,18,22,49,39,58,47,35,39,47,30,28,34,42,45,42,42,43,41,48,41,18,11,19,24,""
24,31,44,43,49,59,80,103,75,74,55,77,69,81,62,81,63,72,55,41,61,36,35,39,34,""
25,30,48,41,48,67,73,80,70,90,80,73,92,70,78,79,73,69,95,60,58,59,38,29,48,""
26,19,43,48,74,69,77,81,94,89,83,75,72,73,80,84,71,77,44,48,33,23,23,25,27,""
27,36,45,41,55,54,62,67,59,66,63,47,101,79,54,62,77,82,82,63,37,26,25,32,23,""
28,34,50,44,59,64,72,63,74,77,82,75,71,71,67,64,68,65,58,59,50,48,54,36,32,""
29,30,32,24,40,69,41,30,44,41,29,39,44,44,45,53,56,106,84,82,53,41,36,35,17,""
30,52,36,38,53,49,68,66,91,66,72,63,71,73,87,95,85,77,100,67,51,52,40,35,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
