oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,17,26,29,39,29,30,28,24,27,24,21,28,23,31,26,28,22,26,19,15,19,27,22,26,""
02,15,23,26,32,36,27,29,24,27,32,28,22,28,29,17,21,20,20,24,18,15,20,24,21,""
03,24,17,33,32,28,33,21,17,31,20,20,28,24,24,30,25,23,20,8,18,18,11,16,21,""
04,9,24,34,29,22,13,22,14,28,16,26,14,25,27,25,23,26,20,15,18,15,16,18,20,""
05,15,15,24,20,25,24,20,24,20,15,26,16,17,26,23,22,21,22,27,15,25,14,15,18,""
06,19,15,26,28,25,20,28,4,0,0,3,32,14,27,19,26,18,19,18,17,16,17,18,18,""
07,14,31,18,21,27,25,22,21,21,24,18,23,32,22,29,27,20,25,13,17,23,27,14,15,""
08,10,19,15,25,25,27,21,22,23,22,17,29,27,26,28,19,27,23,18,12,14,18,16,14,""
09,12,19,19,21,25,29,16,22,26,18,20,19,26,20,23,31,27,19,15,18,15,14,18,12,""
10,21,23,25,24,28,21,19,15,18,17,23,25,24,28,19,30,19,19,17,23,17,11,17,26,""
11,17,24,30,15,37,22,27,25,24,23,24,23,19,22,19,24,15,21,22,18,16,19,22,21,""
12,18,15,22,20,21,17,21,17,22,17,13,20,19,21,32,27,22,19,18,18,13,7,17,24,""
13,13,17,18,22,23,39,20,23,17,10,23,22,30,32,19,17,14,13,24,18,17,12,13,23,""
14,19,11,24,41,24,30,20,18,19,20,13,25,21,20,22,19,21,19,14,11,17,22,16,9,""
15,14,16,24,27,18,27,21,27,19,27,18,27,21,25,27,24,17,20,17,12,13,18,13,13,""
16,27,16,25,34,26,31,29,17,22,22,20,25,31,32,19,19,15,20,20,14,19,17,14,20,""
17,13,20,25,26,24,26,22,25,20,28,17,27,39,22,22,14,18,17,20,24,23,12,21,18,""
18,18,18,26,25,24,22,25,26,22,22,22,18,25,26,31,15,25,19,19,18,13,15,14,11,""
19,18,22,23,24,39,31,21,21,15,17,22,22,27,17,22,30,21,16,21,21,20,14,13,18,""
20,14,31,19,28,22,27,21,25,20,25,15,21,20,24,27,32,14,21,16,12,17,15,10,17,""
21,17,19,19,24,18,25,17,23,12,27,24,25,28,25,22,18,14,22,23,9,20,23,20,17,""
22,13,13,14,19,15,30,31,24,25,28,18,24,25,24,20,12,22,20,20,17,17,15,19,24,""
23,21,12,30,31,19,27,22,24,14,27,16,26,21,19,16,14,23,18,15,12,17,17,18,15,""
24,12,8,23,22,32,33,22,28,19,19,17,19,20,20,19,26,18,22,12,22,11,23,18,12,""
25,9,17,19,27,38,21,20,17,26,23,13,25,16,20,20,20,16,21,25,20,19,16,18,11,""
26,11,15,22,20,27,18,22,23,21,13,22,27,30,20,29,19,18,21,14,15,24,19,19,14,""
27,20,17,30,27,29,32,25,17,19,17,23,23,14,24,24,29,19,21,28,14,15,15,8,15,""
28,16,16,23,15,32,26,22,22,24,25,22,24,15,23,19,18,20,26,16,18,15,15,20,10,""
29,7,19,25,30,35,20,27,26,27,27,21,23,26,16,21,25,19,19,28,13,16,20,19,16,""
30,10,18,19,13,32,22,18,23,12,23,10,26,18,15,22,20,13,12,9,14,17,13,22,8,""
31,14,18,16,20,25,25,21,20,24,17,17,26,20,16,21,21,14,20,23,17,15,13,10,-1,""
